,median_res,mad,spike_rate,changepoints,peer_r,flag_low_r,flag_drift,flag_noisy
81432124031,-6.5,7.75,0.011209366048075726,3,0.9067381545793483,False,True,False
81432124034,0.0,3.0,0.04930221917181423,1,0.9686015271252215,False,False,False
81432130001,2.75,4.75,0.027582748244734202,1,0.89101969891381,False,False,False
81432130014,6.25,9.75,0.119115794296186,2,0.8002874361228022,False,False,True
81432130015,-1.75,7.125,0.015100895362822397,3,0.8605201827532942,False,True,False
81432130017,13.5,11.875,0.025194686211635363,2,0.7144484546575248,False,False,False
81432130021,1.4166666666666679,5.416666666666668,0.09441472820002487,1,0.7273647803753883,False,False,True
81432130025,-1.5624999999999991,5.437500000000001,0.03791743970315399,4,0.8541260285829305,False,True,False
81432130028,-2.75,6.0,0.06011976047904192,3,0.6820354467600064,False,True,True
81432130029,1.375,5.5,0.030815109343936383,2,0.8967019518538144,False,False,False
81432130031,4.125,8.375,0.03516311779644462,1,0.8346284236366538,False,False,False
81432130033,-1.375,7.125,0.028189712758851036,2,0.804794695207396,False,False,False
81432130035,-1.125,8.5,0.016096207215541166,2,0.8366227687594325,False,False,False
81432130036,0.0,9.25,0.017090722179388333,2,0.8249251663426879,False,False,False
81432130042,-3.25,6.0,0.019389897492898604,2,0.8828579070617717,False,False,False
81432130043,-1.625,4.875,0.04110207768744354,2,0.8701723610516617,False,False,False
81432150006,-4.833333333333332,5.583333333333332,0.0734260505458352,1,0.8426538721306067,False,False,True
81432150009,3.75,5.25,0.05360029847033951,2,0.9454576753733629,False,False,True
81432151010,0.0,3.0,0.039309807991696935,3,0.9571729121516157,False,True,False
81432151014,12.8125,12.8125,0.050683829444891394,2,0.8913216840754336,False,False,True
81432151017,0.5,4.25,0.041678167264697766,1,0.9079239225682804,False,False,False
81432151018,-1.75,3.5,0.08839206396209653,1,0.9037629912228222,False,False,True
81432151022,0.75,5.0,0.07909967845659165,2,0.8093189575968158,False,False,True
81432151024,-3.0,2.625,0.03705057891529555,2,0.9560127391906219,False,False,False
81432151044,0.0,3.0,0.07252330541949754,1,0.9522637894340965,False,False,True
81432151048,1.0,4.75,0.06498247663551401,2,0.9089929614306365,False,False,True
81432151051,2.75,4.0,0.04661226508407517,3,0.9412226873319713,False,True,False
81432151055,0.5,5.125,0.0720649895178197,2,0.9249622348388152,False,False,True
81432151062,-2.25,4.375,0.05570920584749111,4,0.9232624613468687,False,True,True
81432151066,0.0,3.5,0.03165098374679213,2,0.9644278057827232,False,False,False
81432151072,-3.375,11.375,0.06886264760720945,3,0.5061445223909257,False,True,True
81432151074,-1.25,4.625,0.04341377915599299,4,0.8708953339307257,False,True,False
81432152006,1.75,4.0,0.07770534550195567,2,0.9413626307915167,False,False,True
81432152014,0.0,3.75,0.03738439494594242,3,0.9543549521620814,False,True,False
81432152018,0.375,5.375,0.08114374034003091,1,0.8803301396738269,False,False,True
