,median_res,mad,spike_rate,changepoints,peer_r,flag_low_r,flag_drift,flag_noisy
81432130003,-3.25,3.25,0.050121541845120965,3,0.9579025994616865,False,True,True
81432130004,-3.5,3.25,0.0938953488372093,1,0.9572737773137375,False,False,True
81432130005,5.625,5.625,0.061028893587033124,1,0.9289044768848642,False,False,True
81432130008,-1.5,2.416666666666668,0.08061993459405659,3,0.9363804996953164,False,True,True
81432131001,-2.75,3.25,0.031638198757763976,2,0.9696133065998889,False,False,False
81432131002,-1.0,4.75,0.03254847645429363,1,0.9170909168135056,False,False,False
81432131004,-6.3333333333333215,4.4166666666666785,0.014823408094869811,3,0.9748620636801435,False,True,False
81432131005,-5.5,5.375,0.04463761306237519,3,0.8654089536798213,False,True,False
81432131006,-0.75,3.0833333333333344,0.08475595094974754,2,0.9374651032042148,False,False,True
81432131007,-3.0,2.5,0.027047192687931355,2,0.9770024604123132,False,False,False
81432131009,-6.0,4.25,0.04150103355064398,3,0.964241042327977,False,True,False
81432131011,-1.875,3.375,0.04127549368727743,1,0.9655474711452372,False,False,False
81432131012,-1.0,4.75,0.08387436392349536,1,0.9110222566932948,False,False,True
81432131013,-5.25,4.875,0.049190090519294905,2,0.9388924324061703,False,False,False
81432131014,-2.2083333333333357,3.7916666666666643,0.03713355048859935,2,0.9666935329040518,False,False,False
81432131015,1.75,2.625,0.07054434458199084,1,0.9687830764320278,False,False,True
81432131016,-2.625,3.708333333333332,0.054406838396673214,2,0.9339430753117929,False,False,True
81432144006,3.208333333333334,2.958333333333334,0.06115641215715345,2,0.9706542274607939,False,False,True
81432144007,0.3333333333333339,2.333333333333334,0.0622568093385214,1,0.9758849794655059,False,False,True
81432144008,-1.125,2.125,0.032852564102564104,0,0.9596760977201257,False,False,False
81432144009,0.0,3.25,0.07495457298606904,2,0.9435261998724782,False,False,True
81432144014,9.5,8.75,0.03461704889658156,1,0.9463201982909557,False,False,False
81432144015,4.0,4.25,0.07858576501466728,3,0.6562961298397588,False,True,True
81432144016,1.75,4.375,0.05363984674329502,0,0.6559743757800374,False,False,True
81432144017,1.125,14.875,0.013146252054101883,3,0.8940370449714571,False,True,False
81432144019,11.25,9.5,0.007568325157673441,1,0.9483178631185898,False,False,False
81432144020,2.75,4.0,0.06014606902477445,3,0.9523228499734919,False,True,True
81432144021,-1.75,2.0,0.06190643686246922,1,0.9746410365981856,False,False,True
81432144022,1.083333333333334,4.291666666666666,0.036100612537469046,1,0.9356752537796258,False,False,False
81432144023,-2.0,5.25,0.020709630702389573,1,0.9584756426830624,False,False,False
81432144024,2.0,2.5,0.08167853128512552,2,0.9805985181607378,False,False,True
81432144025,2.5,4.375,0.03514218303737737,2,0.9574461954590309,False,False,False
81432144026,-3.75,4.958333333333336,0.057577480807506395,1,0.9310237311454824,False,False,True
81432144027,-1.0,2.0,0.07211538461538461,1,0.9762276371791135,False,False,True
81432144030,-0.33333333333333215,3.583333333333332,0.072366877785597,2,0.9326798040267595,False,False,True
81432144031,2.75,4.25,0.04436648782501032,2,0.9486112431704569,False,False,False
81432147001,13.0,9.5,0.056754988550866865,3,0.9678298460435059,False,True,True
81432147004,-3.75,4.166666666666668,0.06202561669829222,1,0.9510364849424715,False,False,True
81432147008,1.2916666666666643,3.1666666666666643,0.05081274798412901,2,0.963563007993401,False,False,True
81432147023,0.5,4.25,0.056618714530816946,1,0.9379794037977609,False,False,True
81432147033,0.0,4.125,0.0574190713344075,3,0.9516035254862815,False,True,True
81432147034,15.0,9.75,0.07306889352818371,2,0.9475852070788352,False,False,True
81432147036,1.5833333333333304,3.0833333333333304,0.06557165028453181,2,0.9299210692732454,False,False,True
81432147037,0.375,3.625,0.05454847829702312,1,0.9654193884549158,False,False,True
81432147038,0.75,3.958333333333332,0.04426636138141576,1,0.9646374255735886,False,False,False
81432147039,2.5,8.0,0.10566910913999229,0,0.7033568415881237,False,False,True
81432147040,10.875,9.125,0.059991667823913346,1,0.9196064502830502,False,False,True
81432147041,-0.125,3.0,0.03577455281808977,1,0.9690932820241318,False,False,False
