dataset_key,city,n,model,scale_estimator,days_evaluated,days_rse_gt_10pct,fraction_days_rse_gt_10pct
dhaka_lcs,Dhaka,1,normal,standard,365,365,1.0
dhaka_lcs,Dhaka,1,normal,robust_mad,365,364,0.9972602739726028
dhaka_lcs,Dhaka,1,lognormal,standard,365,365,1.0
dhaka_lcs,Dhaka,1,lognormal,robust_mad,365,364,0.9972602739726028
dhaka_lcs,Dhaka,2,normal,standard,365,364,0.9972602739726028
dhaka_lcs,Dhaka,2,normal,robust_mad,365,351,0.9616438356164384
dhaka_lcs,Dhaka,2,lognormal,standard,365,364,0.9972602739726028
dhaka_lcs,Dhaka,2,lognormal,robust_mad,365,350,0.958904109589041
dhaka_lcs,Dhaka,3,normal,standard,365,361,0.989041095890411
dhaka_lcs,Dhaka,3,normal,robust_mad,365,311,0.852054794520548
dhaka_lcs,Dhaka,3,lognormal,standard,365,357,0.9780821917808219
dhaka_lcs,Dhaka,3,lognormal,robust_mad,365,314,0.8602739726027397
dhaka_lcs,Dhaka,4,normal,standard,365,351,0.9616438356164384
dhaka_lcs,Dhaka,4,normal,robust_mad,365,258,0.7068493150684931
dhaka_lcs,Dhaka,4,lognormal,standard,365,346,0.947945205479452
dhaka_lcs,Dhaka,4,lognormal,robust_mad,365,267,0.7315068493150685
dhaka_lcs,Dhaka,5,normal,standard,365,339,0.9287671232876712
dhaka_lcs,Dhaka,5,normal,robust_mad,365,209,0.5726027397260274
dhaka_lcs,Dhaka,5,lognormal,standard,365,334,0.915068493150685
dhaka_lcs,Dhaka,5,lognormal,robust_mad,365,214,0.5863013698630137
dhaka_lcs,Dhaka,6,normal,standard,365,321,0.8794520547945206
dhaka_lcs,Dhaka,6,normal,robust_mad,365,153,0.4191780821917808
dhaka_lcs,Dhaka,6,lognormal,standard,365,317,0.8684931506849315
dhaka_lcs,Dhaka,6,lognormal,robust_mad,365,173,0.473972602739726
dhaka_lcs,Dhaka,7,normal,standard,365,288,0.7890410958904109
dhaka_lcs,Dhaka,7,normal,robust_mad,365,113,0.3095890410958904
dhaka_lcs,Dhaka,7,lognormal,standard,365,294,0.8054794520547945
dhaka_lcs,Dhaka,7,lognormal,robust_mad,365,134,0.36712328767123287
dhaka_lcs,Dhaka,8,normal,standard,365,254,0.6958904109589041
dhaka_lcs,Dhaka,8,normal,robust_mad,365,83,0.2273972602739726
dhaka_lcs,Dhaka,8,lognormal,standard,365,268,0.7342465753424657
dhaka_lcs,Dhaka,8,lognormal,robust_mad,365,111,0.3041095890410959
dhaka_lcs,Dhaka,9,normal,standard,365,212,0.5808219178082191
dhaka_lcs,Dhaka,9,normal,robust_mad,365,71,0.19452054794520549
dhaka_lcs,Dhaka,9,lognormal,standard,365,238,0.6520547945205479
dhaka_lcs,Dhaka,9,lognormal,robust_mad,365,88,0.2410958904109589
dhaka_lcs,Dhaka,10,normal,standard,365,181,0.4958904109589041
dhaka_lcs,Dhaka,10,normal,robust_mad,365,59,0.16164383561643836
dhaka_lcs,Dhaka,10,lognormal,standard,365,214,0.5863013698630137
dhaka_lcs,Dhaka,10,lognormal,robust_mad,365,75,0.2054794520547945
dhaka_lcs,Dhaka,11,normal,standard,365,152,0.41643835616438357
dhaka_lcs,Dhaka,11,normal,robust_mad,365,48,0.13150684931506848
dhaka_lcs,Dhaka,11,lognormal,standard,365,188,0.5150684931506849
dhaka_lcs,Dhaka,11,lognormal,robust_mad,365,57,0.15616438356164383
dhaka_lcs,Dhaka,12,normal,standard,365,124,0.33972602739726027
dhaka_lcs,Dhaka,12,normal,robust_mad,365,38,0.10410958904109589
