run_key,city,selection_strategy,selection_strategy_label,time_aggregation,sample_size,row_count,n_outer_draws,n_days,selected_ref_mdape_median_pct,full_ref_mdape_median_pct,mdape_delta_median_pctpt,selected_ref_abs_median_ugm3,full_ref_abs_median_ugm3,abs_delta_median_ugm3,reference_mean_delta_median_ugm3,mdape_delta_p95_pctpt,abs_delta_p95_ugm3
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,daily,10,4820,20,241,2.8481308956044575,4.07987257761732,0.8769159197696299,0.2734791666666667,0.38599999999999923,0.10062356768550185,0.3082912556178208,4.817451416714002,0.39773516327311953
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,10,20,20,0,2.255333347898062,2.9998555573420154,0.7575211561620434,0.22375247691491262,0.3169247129624755,0.09468179948787281,0.647007807974795,0.946047777740961,0.11528836767978783
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,daily,10,4820,20,241,2.550788978508914,3.376248079220405,0.4646648711310981,0.24020000000000064,0.3164823137744488,0.04831853901872418,0.20402204025465487,3.9201902979261516,0.3162676791956319
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,10,20,20,0,2.100291051106337,2.3620918503028108,0.3579607254766106,0.2092007494599346,0.24954710896531074,0.04840317052267773,0.5187732977888322,0.8808652511765722,0.10722914771630958
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,daily,10,4820,20,241,2.1077494336080065,3.5206214392796515,1.0642544706068338,0.2014948979591833,0.34233481254886833,0.09916211484593784,-0.06394319633057677,8.074023096947823,0.9002417962724131
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,10,20,20,0,1.639909398695405,2.143403172852276,0.3339201565883576,0.17303288331667233,0.22644338113430695,0.04252622747472978,0.25906982251779187,2.345051245105779,0.24669048218763892
chicago_phase4_strategy_n50,Chicago,equidistant,Spatially balanced,daily,10,12050,50,241,2.7494748829883213,3.23494141042361,0.27723704925912696,0.2640408163265313,0.30133335182821996,0.030946712018141254,0.17830199092902088,2.1511805618148068,0.18876460501858716
chicago_phase4_strategy_n50,Chicago,equidistant,Spatially balanced,period,10,50,50,0,2.2204600722395647,2.6879703556443117,0.407037522339908,0.2210702227802961,0.2839750838433761,0.05172322627611203,0.484234263229145,1.4432688292212392,0.16463387003193994
chicago_phase4_strategy_n50,Chicago,kmeans_stratified,k-means stratified,daily,10,12050,50,241,2.426992651454026,2.6233107644704177,0.06695750683243484,0.2349489795918367,0.24280524071372378,0.006574074074073621,-0.002099042219435354,1.0596686198973622,0.09747089070611946
chicago_phase4_strategy_n50,Chicago,kmeans_stratified,k-means stratified,period,10,50,50,0,1.7471811627362892,1.8425940087029093,0.04957103903638693,0.1784343751450579,0.1946638983618132,0.010794039870265948,0.2894780360083029,0.5870123853088336,0.07106109750644518
chicago_phase4_strategy_n50,Chicago,random,Random,daily,10,12050,50,241,2.3862701765842047,2.622718733633943,0.09472048501000296,0.22559999999999913,0.24337849373537046,0.009517041223762845,0.0371116601019974,1.3791939477791066,0.11585061436284591
chicago_phase4_strategy_n50,Chicago,random,Random,period,10,50,50,0,1.7365496836033696,1.9147226316862083,0.07171575383673101,0.17765167300112106,0.20228404629840746,0.014451318474381747,0.35077391861600127,0.4749153122975171,0.05233732710381017
lucknow_phase3_random_n50,Lucknow,random,Random,daily,10,36500,100,365,4.29053720192871,4.514509656005682,0.06621273912089531,1.7193044382686447,1.783501272308757,0.02483209274568221,-0.056516430990138034,1.178336020708436,0.7176527298889539
lucknow_phase3_random_n50,Lucknow,random,Random,period,10,100,100,0,5.439313220501225,5.601491561456667,0.09279399707957925,3.371131054657946,3.4618474057998228,0.05783075331321719,-0.13635914009121208,0.6791403793512858,0.4381584912013046
