phase,phase_name,check,status,observed,expected,notes
1,phase1_chicago_realitycheck_n40,master_seed,pass,20260528,20260528,
1,phase1_chicago_realitycheck_n40,inner_draws,pass,10000,10000,
1,phase1_chicago_realitycheck_n40,outer_seed_rows,pass,50,50,
1,phase1_chicago_realitycheck_n40,target_N_star_values,pass,[40],[40],
1,phase1_chicago_realitycheck_n40,selected_sensor_count_matches_target,pass,True,True,
1,phase1_chicago_realitycheck_n40,per_draw_parquet_files,pass,0,50,Per-draw files are omitted from the GitHub package; retained seeds and compact summaries are sufficient for manuscript outputs.
1,phase1_chicago_realitycheck_n40,all_draw_time_aggregations,pass,"['daily', 'period']",daily+period,
1,phase1_chicago_realitycheck_n40,all_draw_rows,pass,42250,nonzero,
1,phase1_chicago_realitycheck_n40,file_exists:aggregated/headline_numbers.csv,pass,True,True,
1,phase1_chicago_realitycheck_n40,file_exists:aggregated/period_mdape_envelope.csv,pass,True,True,
1,phase1_chicago_realitycheck_n40,file_exists:aggregated/period_absolute_error_envelope.csv,pass,True,True,
1,phase1_chicago_realitycheck_n40,file_exists:config/selected_sensor_subsets_long.csv,pass,True,True,
1,phase1_chicago_realitycheck_n40,file_exists:phase1_summary.md,pass,True,True,
1,phase1_chicago_realitycheck_n40,file_exists:aggregated/daily_mdape_envelope.csv,pass,True,True,
1,phase1_chicago_realitycheck_n40,file_exists:aggregated/daily_absolute_error_envelope.csv,pass,True,True,
1,phase1_chicago_realitycheck_n40,pdf_plot_count,pass,3,>=1,
2,phase2_chicago_nsensitivity,master_seed,pass,20260528,20260528,
2,phase2_chicago_nsensitivity,inner_draws,pass,10000,10000,
2,phase2_chicago_nsensitivity,outer_seed_rows,pass,800,800,
2,phase2_chicago_nsensitivity,target_N_star_values,pass,"[30, 40, 50, 70, 100, 150, 200, 277]","[30, 40, 50, 70, 100, 150, 200, 277]",
2,phase2_chicago_nsensitivity,selected_sensor_count_matches_target,pass,True,True,
