phase,phase_name,dataset_key,target_N_star,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_set_hash,selected_sensor_order,sensor_id,station_name,latitude,longitude
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,1,DALBP5360,Beverly 4,41.70569725,-87.67464569625
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,2,DBZCJ6205,Auburn Gresham 3,41.73924395,-87.63654310138
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,3,DCABM0358,South Lawndale 6,41.8403631,-87.73770467097
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,4,DCZQF3538,Lower West Side 2,41.85298145,-87.66905187486
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,5,DDLSL3066,West Town 2,41.90818775,-87.67277999888
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,6,DEVFQ3796,Austin 3,41.8911473,-87.7527475601
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,7,DFVRF7063,Austin 2,41.90386395,-87.75296686302
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,8,DGTDZ6242,Forest Glen 3,41.98958085,-87.74435264432
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,9,DGZUS1041,East Side 1,41.726048,-87.53635402287
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,10,DHCXV0760,West Garfield Park 1,41.87835895,-87.73628820535
1,phase1_chicago_realitycheck_n40,chicago_lcs_corrected_no_collocation,40,0,3248885389,3400428229,2433a9b747ea996c,11,DHNQG0980,Irving Park 1,41.96257933332,-87.74452053946
