phase,city,metric_name,target_N_star,aggregation,value_median,value_p5,value_p95,value_mean,value_sd,n_outer_draws,n_inner_draws,notes
2,Chicago,n_for_mdape_le_5pct,30,period,2.0,2.0,3.0,2.12,0.4557156653844232,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,30,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,30,period,1.5935984952510478,1.2074081353203514,3.764799561890719,1.858504477935944,0.7605091489106164,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,n_for_mdape_le_5pct,40,period,2.0,2.0,2.049999999999997,2.06,0.2777979790634143,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,40,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,40,period,1.6505758355067426,1.3334991663119544,3.0937223037714454,1.8759191566390647,0.5595692611134285,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,n_for_mdape_le_5pct,50,period,2.0,2.0,2.0,2.03,0.1714466079977653,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,50,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,50,period,1.83816984880539,1.413981390195558,2.7603836272053885,1.9737974230469195,0.4452456494822939,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,n_for_mdape_le_5pct,70,period,2.0,2.0,2.0,2.01,0.1,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,70,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,70,period,1.928119763088873,1.4883685070467898,2.4356225727899683,1.9501588828384728,0.3257987276206512,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,n_for_mdape_le_5pct,100,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,100,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,100,period,1.9332619067901056,1.6076083421488183,2.197526804352562,1.9311455711876284,0.2058876089773804,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,n_for_mdape_le_5pct,150,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,150,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,150,period,1.9317436285039935,1.691113969842768,2.1525093396382387,1.9232542643329296,0.1372651840023643,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,n_for_mdape_le_5pct,200,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,200,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,200,period,1.9336186193791771,1.796237198437472,2.068930617841724,1.930531700529343,0.0890863603480459,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,n_for_mdape_le_5pct,277,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 5% within each outer finite-population draw.
2,Chicago,n_for_mdape_le_10pct,277,period,2.0,2.0,2.0,2.0,0.0,100,10000,First n where period MdAPE <= 10% within each outer finite-population draw.
2,Chicago,mdape_at_n10,277,period,1.9276780543253196,1.889589285636014,1.96326174712448,1.925958528285326,0.0219984071407914,100,10000,Period MdAPE at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,30,period,0.16288132649261833,0.1237271097529192,0.3925320677536371,0.19026127450898922,0.07917963472410827,100,10000,Period median absolute error at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,40,period,0.16888549561136035,0.13552890083983607,0.3232093089253975,0.19188569310877351,0.05862066077833002,100,10000,Period median absolute error at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,50,period,0.18843056584709084,0.14619974885312886,0.28791717228304337,0.20278014030421296,0.046660474865420645,100,10000,Period median absolute error at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,70,period,0.19751271897593936,0.15129243808177825,0.2515940209208159,0.1999424115956568,0.03379345792830287,100,10000,Period median absolute error at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,100,period,0.19938127051041832,0.16574454792314866,0.22601104045761486,0.1981089266634523,0.021209747177838117,100,10000,Period median absolute error at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,150,period,0.1976516076794086,0.1727194075814232,0.22145970946172522,0.19714334572481904,0.014097729295084009,100,10000,Period median absolute error at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,200,period,0.19841118509206623,0.18320086069035352,0.21178712091736385,0.19807956754335138,0.009087854804203464,100,10000,Period median absolute error at n=10 across outer finite-population draws.
2,Chicago,absolute_error_at_n10_ugm3,277,period,0.19765429027013282,0.19374886191001028,0.20130286090651434,0.1974779788273204,0.0022556046331130616,100,10000,Period median absolute error at n=10 across outer finite-population draws.
