phase,target_N_star,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_ids,selected_sensor_count,selected_sensor_set_hash
2,30,0,2956452055,975484671,"[""DAETQ5676"", ""DBFUZ7169"", ""DBLXJ4454"", ""DBMHJ0743"", ""DCRJT8545"", ""DFCTF9310"", ""DFDFU1164"", ""DFEAJ0038"", ""DIRJX6254"", ""DJKZD4256"", ""DKISS7174"", ""DKNMF4367"", ""DKRXT7147"", ""DLNMW9381"", ""DLUKV4510"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DNUKL3524"", ""DQVFE3070"", ""DQWCU6663"", ""DRUBP9408"", ""DSKEW3707"", ""DTYDP5264"", ""DVRBW4874"", ""DXEMM9791"", ""DYDVV6312"", ""DYHTK6723"", ""DZBKX0961"", ""DZFFW4078""]",30,07743def1f1abaa8
2,30,1,2741239010,677224438,"[""DAEXF8484"", ""DBMHJ0743"", ""DBYCW6873"", ""DDGHI0125"", ""DDHVZ6546"", ""DEWGT8066"", ""DFAKZ8204"", ""DGGGM0466"", ""DHWLS6819"", ""DIHMX0551"", ""DJJVG1917"", ""DJJWX4142"", ""DKISS7174"", ""DLIKU5639"", ""DPMHQ8304"", ""DRHPF2920"", ""DRJGY6541"", ""DRJPX9457"", ""DRRDD3500"", ""DTFVD6048"", ""DUSKD5383"", ""DUVHI0112"", ""DVWMK9661"", ""DWFRI5691"", ""DXRZC4102"", ""DYWEY8508"", ""DZBHR9476"", ""DZFFW4078"", ""DZIHS7092"", ""DZKWB0839""]",30,15711878d786a63f
2,30,2,4049182964,36649934,"[""DAEXF8484"", ""DCIJQ7018"", ""DEPLW3142"", ""DEYGE9157"", ""DFIRX1818"", ""DGGGM0466"", ""DGZGL5338"", ""DHCXV0760"", ""DHZTI7858"", ""DITUY8368"", ""DIWYY0447"", ""DJWGZ0445"", ""DKWDP4373"", ""DLJWW1620"", ""DMAEX1156"", ""DMFEL5431"", ""DMKJB8675"", ""DMLBL6950"", ""DNBEB5545"", ""DNEXF4696"", ""DPNPJ6846"", ""DQAJZ3770"", ""DQWCU6663"", ""DQZIL1804"", ""DTQTJ0507"", ""DUNKA8014"", ""DYHTK6723"", ""DZBKX0961"", ""DZFFW4078"", ""DZLAV7766""]",30,7fe45f90b27f2084
2,30,3,1318746949,1158932306,"[""DAHAJ0678"", ""DAJHM7956"", ""DALUY0194"", ""DBFUZ7169"", ""DCQTB2627"", ""DDGHI0125"", ""DEYGE9157"", ""DFDFU1164"", ""DFMDU1576"", ""DFNBI6922"", ""DHQVH8975"", ""DJCYU2364"", ""DJIHM1001"", ""DLVFF5341"", ""DMHRT7456"", ""DQGPJ5322"", ""DQJVA6225"", ""DQRVM2041"", ""DQUUS8611"", ""DSKDX3738"", ""DUBCZ6179"", ""DUDWN9545"", ""DUNKA8014"", ""DWEIE9311"", ""DWFRI5691"", ""DWTBK5575"", ""DWZPM1574"", ""DXRZC4102"", ""DYUGS4351"", ""DZIEF7974""]",30,0c3efdf4fcf8ffe9
2,30,4,1480781468,1973958948,"[""DAHAJ0678"", ""DBYCW6873"", ""DCZQF3538"", ""DEYGE9157"", ""DFAKZ8204"", ""DFKYH6865"", ""DFRSA4000"", ""DIBVR6629"", ""DJJWX4142"", ""DKDJK5693"", ""DKIJX6114"", ""DKISS7174"", ""DLJWW1620"", ""DMLFU0523"", ""DMVDY6300"", ""DNEXF4696"", ""DQRVM2041"", ""DQZEA3135"", ""DRCQU4244"", ""DRRDD3500"", ""DTUGZ9693"", ""DTVYY1142"", ""DUDWN9545"", ""DVPEA0040"", ""DVRBW4874"", ""DXEMM9791"", ""DYGHJ0891"", ""DYHTK6723"", ""DYUGS4351"", ""DYWHJ8696""]",30,e7c164a66d6d4ff0
2,30,5,843572746,2744392539,"[""DAETQ5676"", ""DAHWZ2321"", ""DAJHM7956"", ""DAWUS6556"", ""DBDSX9338"", ""DBFUZ7169"", ""DBYCW6873"", ""DEPLW3142"", ""DEWGT8066"", ""DEYGE9157"", ""DFDVG9143"", ""DGTDZ6242"", ""DHJUH1119"", ""DIHMX0551"", ""DIUDG6358"", ""DIXEX6164"", ""DKDJK5693"", ""DKIJX6114"", ""DKISS7174"", ""DMKJB8675"", ""DPWHE0976"", ""DQXJA8041"", ""DSKEW3707"", ""DTQTJ0507"", ""DUGYZ8163"", ""DWBTT8209"", ""DWMLU4849"", ""DXWXZ1902"", ""DYLLV9237"", ""DZFFW4078""]",30,a2535d3917b4ae95
2,30,6,3887374371,1480980571,"[""DAYYE9472"", ""DCABM0358"", ""DCZQF3538"", ""DERZJ4600"", ""DFNBI6922"", ""DFRSA4000"", ""DHIBT9527"", ""DHJUH1119"", ""DHUBD2135"", ""DIBVR6629"", ""DIXUN6634"", ""DJJWX4142"", ""DKDJK5693"", ""DKISS7174"", ""DKNMF4367"", ""DLIKU5639"", ""DLJWW1620"", ""DLZBV6061"", ""DMAEX1156"", ""DMKJB8675"", ""DMTRR1120"", ""DMYYS7663"", ""DNBEB5545"", ""DPMWW4120"", ""DQXJA8041"", ""DTQTJ0507"", ""DUXLQ7589"", ""DWEWU1433"", ""DWFRI5691"", ""DWMKK1484""]",30,9f80ddcff739cebe
2,30,7,3313951940,1675782817,"[""DAEXF8484"", ""DAPJK7781"", ""DAREG6245"", ""DBDBP2246"", ""DBYCW6873"", ""DEJMD2536"", ""DFAQM2360"", ""DFCTF9310"", ""DGHRH9009"", ""DGTDZ6242"", ""DHCXV0760"", ""DIBVR6629"", ""DIWYY0447"", ""DJCYU2364"", ""DJGDZ3688"", ""DKHYU9123"", ""DLDVK7370"", ""DLFZU4679"", ""DMIYV7889"", ""DNVBM2851"", ""DQIUL8061"", ""DRDZF3698"", ""DRILK5150"", ""DUNKA8014"", ""DUSKD5383"", ""DVPEA0040"", ""DWTBK5575"", ""DYZXT2661"", ""DZBHR9476"", ""DZLAV7766""]",30,802d4fbb5447a6a2
2,30,8,3765234662,27842499,"[""DBIRF2035"", ""DBMHJ0743"", ""DCHTB8281"", ""DCIJQ7018"", ""DCIRD2804"", ""DFKYH6865"", ""DHBBM8531"", ""DHIBT9527"", ""DHNQG0980"", ""DIFPQ7419"", ""DIWYY0447"", ""DIXUN6634"", ""DKXFR1580"", ""DMMAG3845"", ""DMTRR1120"", ""DNCCJ5144"", ""DNVBM2851"", ""DQJVA6225"", ""DRHPF2920"", ""DSSQU9498"", ""DUVHI0112"", ""DWEIE9311"", ""DWZPM1574"", ""DWZRL1539"", ""DXRZC4102"", ""DYHTK6723"", ""DYUGS4351"", ""DYWEY8508"", ""DYWWS0378"", ""DZKWB0839""]",30,97688a918010f275
2,30,9,2281723733,2135159863,"[""DAHWZ2321"", ""DAUPG9028"", ""DBCBA3610"", ""DBDSX9338"", ""DBJPV1452"", ""DBMHJ0743"", ""DBTKW5792"", ""DCABM0358"", ""DCRJT8545"", ""DEWGT8066"", ""DEYGE9157"", ""DFDFU1164"", ""DGZGL5338"", ""DIFIV9884"", ""DIVZD0266"", ""DMLFU0523"", ""DMVDY6300"", ""DNBKU3560"", ""DPQMK5751"", ""DQGPJ5322"", ""DQVFE3070"", ""DQZIL1804"", ""DRCQU4244"", ""DRILK5150"", ""DTKNM4892"", ""DTUGZ9693"", ""DUSKD5383"", ""DWMLU4849"", ""DYLLV9237"", ""DZFVS4727""]",30,0cd68d8e2349f536
2,30,10,1555606934,645730953,"[""DAHAJ0678"", ""DBDBP2246"", ""DBDSX9338"", ""DBZCJ6205"", ""DCAFN1583"", ""DCQTB2627"", ""DFKYP0941"", ""DFRKF1779"", ""DGRCH4426"", ""DHQVH8975"", ""DHWLS6819"", ""DIBVR6629"", ""DIFPQ7419"", ""DIWKR9442"", ""DIXEX6164"", ""DKISS7174"", ""DKNMF4367"", ""DKRXT7147"", ""DKXFR1580"", ""DMARJ5120"", ""DMYYS7663"", ""DPMWW4120"", ""DRUBP9408"", ""DRZTP3103"", ""DSZQR8376"", ""DUBCZ6179"", ""DWEWU1433"", ""DWMLU4849"", ""DWRMS8182"", ""DYRMT9480""]",30,9c497bd2efe8c5fe
2,30,11,3785166551,2138722101,"[""DARLP7776"", ""DAUPG9028"", ""DBIRF2035"", ""DBIZF0451"", ""DBLXJ4454"", ""DCQTB2627"", ""DCZQF3538"", ""DDGHI0125"", ""DFAKZ8204"", ""DFESS1920"", ""DGKDK3415"", ""DGTDZ6242"", ""DGZGL5338"", ""DHSIJ5379"", ""DIQKT3554"", ""DIUDG6358"", ""DJGDZ3688"", ""DJSLY4013"", ""DKIJX6114"", ""DLTCH1397"", ""DMMRS6981"", ""DMSGP0807"", ""DNBEB5545"", ""DPDDG5192"", ""DPMHQ8304"", ""DSKDX3738"", ""DTYDP5264"", ""DWRMS8182"", ""DZBKX0961"", ""DZUWB2477""]",30,b39a9c61a62a354d
2,30,12,4276621627,3508606437,"[""DAETQ5676"", ""DALBP5360"", ""DAPBK7657"", ""DBDSX9338"", ""DBIZF0451"", ""DBJPV1452"", ""DDZMI3291"", ""DIFPQ7419"", ""DIQKT3554"", ""DJCYU2364"", ""DJHFB1439"", ""DJJWX4142"", ""DJKZD4256"", ""DJSLY4013"", ""DLZBV6061"", ""DQAJZ3770"", ""DQVFE3070"", ""DRCQU4244"", ""DRDZF3698"", ""DTUGZ9693"", ""DUSKD5383"", ""DVRBW4874"", ""DWFRI5691"", ""DWGYM0810"", ""DWTBK5575"", ""DXEMM9791"", ""DYWWS0378"", ""DZCNZ4799"", ""DZKWB0839"", ""DZLAV7766""]",30,f9ee451444211a1a
2,30,13,58253475,1808957576,"[""DAJHM7956"", ""DAREG6245"", ""DBDBP2246"", ""DBZCJ6205"", ""DDCVA2276"", ""DDGHI0125"", ""DDQNT6485"", ""DEJMD2536"", ""DFKYP0941"", ""DHBBM8531"", ""DIIPF3878"", ""DIRJX6254"", ""DIUZJ7853"", ""DKXFR1580"", ""DMLRY2750"", ""DMSGP0807"", ""DMTRR1120"", ""DMVDY6300"", ""DPQMK5751"", ""DRZTP3103"", ""DTCRA7818"", ""DTFVD6048"", ""DTVYY1142"", ""DWGYM0810"", ""DXEMM9791"", ""DXRZC4102"", ""DXUQX7513"", ""DYZXT2661"", ""DZBHR9476"", ""DZFFW4078""]",30,8f4e6fbecdda13ca
2,30,14,1325911557,2136749256,"[""DAHAJ0678"", ""DBDBP2246"", ""DCYXM8877"", ""DCZQF3538"", ""DDLSL3066"", ""DERZJ4600"", ""DFVRF7063"", ""DGTDZ6242"", ""DHNQG0980"", ""DHUBD2135"", ""DIBVR6629"", ""DIIPF3878"", ""DIWYY0447"", ""DKISS7174"", ""DKRXT7147"", ""DMHRT7456"", ""DMLFU0523"", ""DMMRS6981"", ""DPDDG5192"", ""DQRVM2041"", ""DRHPF2920"", ""DRILK5150"", ""DTFVD6048"", ""DTYDP5264"", ""DUUZN2841"", ""DWRMS8182"", ""DYDVV6312"", ""DZBKX0961"", ""DZFFW4078"", ""DZKWB0839""]",30,1263b0890c8842a8
2,30,15,886319819,1723058286,"[""DAETQ5676"", ""DALUY0194"", ""DATLR2184"", ""DCABM0358"", ""DCQTB2627"", ""DDVZB7943"", ""DEVFQ3796"", ""DEYGE9157"", ""DGZUS1041"", ""DHJUH1119"", ""DHNQG0980"", ""DIRJX6254"", ""DIUZJ7853"", ""DMTRR1120"", ""DNEXF4696"", ""DNVBM2851"", ""DQTUI1287"", ""DRDZF3698"", ""DSHYP2656"", ""DSKDX3738"", ""DUGYZ8163"", ""DUIZW8642"", ""DUNKA8014"", ""DVCHA9392"", ""DVPEA0040"", ""DXHCB5919"", ""DXHYE9278"", ""DYWEY8508"", ""DYWWS0378"", ""DZCNZ4799""]",30,7a2082b06622cb7f
2,30,16,1244302774,1449818268,"[""DAEXF8484"", ""DBJPV1452"", ""DBLXJ4454"", ""DBYCW6873"", ""DBZCJ6205"", ""DDHVZ6546"", ""DFAKZ8204"", ""DFNBI6922"", ""DFRKF1779"", ""DGHRH9009"", ""DGTGR9009"", ""DHSIJ5379"", ""DIEET8865"", ""DJWGZ0445"", ""DLNMW9381"", ""DLVFF5341"", ""DMYFE2499"", ""DPDDG5192"", ""DQUUS8611"", ""DRUBP9408"", ""DRYBG8957"", ""DSMXS8409"", ""DUIZW8642"", ""DUNKA8014"", ""DWBTT8209"", ""DWTBM7891"", ""DXIGM4223"", ""DYHTK6723"", ""DYWHJ8696"", ""DZTFU6199""]",30,9687d7958cfca7ec
2,30,17,530489789,2337492073,"[""DAHAJ0678"", ""DAWAP1896"", ""DAWUS6556"", ""DBIZF0451"", ""DDHVZ6546"", ""DDLSL3066"", ""DDZMI3291"", ""DEIDA3268"", ""DERZJ4600"", ""DGAID0757"", ""DGTDZ6242"", ""DHBBM8531"", ""DHQVH8975"", ""DJHFB1439"", ""DKIJX6114"", ""DKRXT7147"", ""DNBKU3560"", ""DPQMK5751"", ""DRCQU4244"", ""DRHPF2920"", ""DRJGY6541"", ""DSHYP2656"", ""DTKNM4892"", ""DVCHA9392"", ""DWMLU4849"", ""DWRMS8182"", ""DXEMM9791"", ""DXWXZ1902"", ""DYSHC8669"", ""DYWWS0378""]",30,acdf4fc4687bfc75
2,30,18,2901806667,3308935988,"[""DAMWS8859"", ""DARLP7776"", ""DBMHJ0743"", ""DCABM0358"", ""DCFVE7122"", ""DCIJQ7018"", ""DDGFW8206"", ""DDZMI3291"", ""DEYGE9157"", ""DGDNA0617"", ""DGRCH4426"", ""DGZGL5338"", ""DIEET8865"", ""DIHMX0551"", ""DIUDG6358"", ""DIXEX6164"", ""DIXUN6634"", ""DKTWP2892"", ""DMHRT7456"", ""DMLBL6950"", ""DPCUT7707"", ""DPDDG5192"", ""DPMWW4120"", ""DQAJZ3770"", ""DSKEW3707"", ""DUGYZ8163"", ""DWBTT8209"", ""DWCTD3003"", ""DWGYM0810"", ""DWMUZ3935""]",30,58a21ab66118a997
2,30,19,2773598806,145237504,"[""DAETQ5676"", ""DALBP5360"", ""DAMWS8859"", ""DBIRF2035"", ""DCABM0358"", ""DDGFW8206"", ""DDZMI3291"", ""DFMDU1576"", ""DIBVR6629"", ""DIUZJ7853"", ""DIWYY0447"", ""DKHYU9123"", ""DKISS7174"", ""DKWDP4373"", ""DLUKV4510"", ""DNFCT5518"", ""DPMWW4120"", ""DPNPJ6846"", ""DPWHE0976"", ""DQRVM2041"", ""DRDMU5348"", ""DRZTP3103"", ""DSKDX3738"", ""DUIZW8642"", ""DVRBW4874"", ""DWEIE9311"", ""DWFRI5691"", ""DWZRL1539"", ""DXHYE9278"", ""DZBKX0961""]",30,74fb4ebf871c2a8e
2,30,20,3033272724,4234352184,"[""DAEXF8484"", ""DALUY0194"", ""DATLR2184"", ""DAWAP1896"", ""DBTKW5792"", ""DBZCJ6205"", ""DCIJQ7018"", ""DDLSL3066"", ""DDQNT6485"", ""DEWGT8066"", ""DFAKZ8204"", ""DHQVH8975"", ""DHZTI7858"", ""DJKZD4256"", ""DMARJ5120"", ""DMKJB8675"", ""DMTRR1120"", ""DNUKL3524"", ""DPMHQ8304"", ""DQRVM2041"", ""DQWCU6663"", ""DQZIL1804"", ""DRRDD3500"", ""DRZTP3103"", ""DSKDX3738"", ""DTQTJ0507"", ""DVPZF1960"", ""DXEMM9791"", ""DYSHC8669"", ""DZIEF7974""]",30,aa8a0d9f5eb897af
2,30,21,3484599292,1216990596,"[""DACZY2913"", ""DAJHM7956"", ""DAMWS8859"", ""DBCBA3610"", ""DCYXM8877"", ""DERZJ4600"", ""DFVRF7063"", ""DGTGR9009"", ""DGZUS1041"", ""DHBBM8531"", ""DIEET8865"", ""DJCYU2364"", ""DKISS7174"", ""DLTCH1397"", ""DLVFF5341"", ""DMFEL5431"", ""DMLBL6950"", ""DMLRY2750"", ""DNBEB5545"", ""DQAJZ3770"", ""DQJDZ1252"", ""DQTUI1287"", ""DRJPX9457"", ""DSKDX3738"", ""DUBCZ6179"", ""DUGYZ8163"", ""DVCHA9392"", ""DVNGV1890"", ""DVPEA0040"", ""DWTBM7891""]",30,6b2aa630cbd0d4ce
