phase,target_N_star,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_ids,selected_sensor_count,selected_sensor_set_hash
3,31,0,1186412529,990205548,"[""81432130008"", ""81432131005"", ""81432131006"", ""81432131011"", ""81432131012"", ""81432131013"", ""81432131014"", ""81432144007"", ""81432144008"", ""81432144009"", ""81432144014"", ""81432144015"", ""81432144020"", ""81432144022"", ""81432144024"", ""81432144027"", ""81432147001"", ""81432147004"", ""81432147008"", ""81432147033"", ""81432147036"", ""81432147037"", ""81432147038"", ""81432147041"", ""81432147047"", ""81432147049"", ""81432147054"", ""81432147057"", ""81432147060"", ""81432147064"", ""81432147068""]",31,61ccb0cd22b092b9
3,31,1,302715086,2652934087,"[""81432130003"", ""81432130008"", ""81432131001"", ""81432131002"", ""81432131005"", ""81432131007"", ""81432131013"", ""81432131014"", ""81432131015"", ""81432144006"", ""81432144008"", ""81432144014"", ""81432144016"", ""81432144022"", ""81432144023"", ""81432144024"", ""81432144025"", ""81432144026"", ""81432144030"", ""81432147001"", ""81432147004"", ""81432147008"", ""81432147033"", ""81432147043"", ""81432147044"", ""81432147045"", ""81432147049"", ""81432147053"", ""81432147061"", ""81432147072"", ""81432147076""]",31,2dc373945610f7f2
3,31,2,4171580741,755554517,"[""81432130003"", ""81432130008"", ""81432131004"", ""81432131006"", ""81432131007"", ""81432131013"", ""81432131014"", ""81432144017"", ""81432144019"", ""81432144023"", ""81432144027"", ""81432144030"", ""81432147004"", ""81432147008"", ""81432147023"", ""81432147033"", ""81432147036"", ""81432147037"", ""81432147038"", ""81432147039"", ""81432147040"", ""81432147044"", ""81432147046"", ""81432147047"", ""81432147050"", ""81432147051"", ""81432147055"", ""81432147060"", ""81432147061"", ""81432147064"", ""81432147065""]",31,c9bac25b5ea64cf4
3,31,3,915272074,570900229,"[""81432130003"", ""81432130004"", ""81432130005"", ""81432130008"", ""81432131005"", ""81432131012"", ""81432131013"", ""81432144007"", ""81432144008"", ""81432144015"", ""81432144019"", ""81432144021"", ""81432144022"", ""81432144024"", ""81432147004"", ""81432147008"", ""81432147036"", ""81432147038"", ""81432147040"", ""81432147041"", ""81432147043"", ""81432147046"", ""81432147047"", ""81432147049"", ""81432147053"", ""81432147055"", ""81432147057"", ""81432147060"", ""81432147061"", ""81432147062"", ""81432147070""]",31,f853319bb194748c
3,31,4,3378801987,4108750790,"[""81432130005"", ""81432130008"", ""81432131001"", ""81432131004"", ""81432131009"", ""81432131012"", ""81432131014"", ""81432131015"", ""81432144006"", ""81432144008"", ""81432144015"", ""81432144017"", ""81432144019"", ""81432144020"", ""81432144021"", ""81432144024"", ""81432144027"", ""81432144031"", ""81432147008"", ""81432147023"", ""81432147037"", ""81432147038"", ""81432147043"", ""81432147046"", ""81432147050"", ""81432147056"", ""81432147061"", ""81432147068"", ""81432147069"", ""81432147070"", ""81432147072""]",31,c3126c08652e1f73
3,31,5,1180157120,943124341,"[""81432130003"", ""81432130005"", ""81432131006"", ""81432131009"", ""81432131011"", ""81432131012"", ""81432131013"", ""81432131014"", ""81432144009"", ""81432144016"", ""81432144017"", ""81432144019"", ""81432144021"", ""81432144022"", ""81432144031"", ""81432147001"", ""81432147033"", ""81432147034"", ""81432147041"", ""81432147044"", ""81432147045"", ""81432147046"", ""81432147047"", ""81432147055"", ""81432147056"", ""81432147062"", ""81432147064"", ""81432147065"", ""81432147068"", ""81432147069"", ""81432147072""]",31,16e698c0a5306170
3,31,6,1033710404,1431964338,"[""81432130008"", ""81432131002"", ""81432131004"", ""81432131009"", ""81432131011"", ""81432131016"", ""81432144008"", ""81432144009"", ""81432144014"", ""81432144015"", ""81432144017"", ""81432144020"", ""81432144021"", ""81432144023"", ""81432144026"", ""81432144031"", ""81432147004"", ""81432147023"", ""81432147033"", ""81432147038"", ""81432147044"", ""81432147046"", ""81432147047"", ""81432147049"", ""81432147050"", ""81432147053"", ""81432147057"", ""81432147060"", ""81432147065"", ""81432147068"", ""81432147076""]",31,ed8bde4a0ed0da63
3,31,7,1794113566,1676674800,"[""81432130004"", ""81432131001"", ""81432131002"", ""81432131004"", ""81432131005"", ""81432131011"", ""81432131014"", ""81432144009"", ""81432144016"", ""81432144020"", ""81432144022"", ""81432144025"", ""81432144027"", ""81432144030"", ""81432144031"", ""81432147001"", ""81432147023"", ""81432147033"", ""81432147034"", ""81432147036"", ""81432147038"", ""81432147039"", ""81432147041"", ""81432147049"", ""81432147057"", ""81432147060"", ""81432147061"", ""81432147062"", ""81432147064"", ""81432147069"", ""81432147070""]",31,5bdcbf65eeca971d
3,31,8,1711292400,2931922419,"[""81432130005"", ""81432130008"", ""81432131006"", ""81432131007"", ""81432131012"", ""81432131013"", ""81432131014"", ""81432131015"", ""81432144006"", ""81432144007"", ""81432144016"", ""81432144020"", ""81432144021"", ""81432144024"", ""81432144027"", ""81432147001"", ""81432147023"", ""81432147033"", ""81432147038"", ""81432147039"", ""81432147044"", ""81432147045"", ""81432147047"", ""81432147050"", ""81432147054"", ""81432147056"", ""81432147057"", ""81432147060"", ""81432147062"", ""81432147068"", ""81432147072""]",31,641ef763307027ce
3,31,9,2726592756,2618115005,"[""81432130005"", ""81432130008"", ""81432131006"", ""81432131012"", ""81432131013"", ""81432131014"", ""81432131015"", ""81432131016"", ""81432144007"", ""81432144009"", ""81432144014"", ""81432144016"", ""81432144019"", ""81432144020"", ""81432144022"", ""81432144023"", ""81432144031"", ""81432147004"", ""81432147008"", ""81432147036"", ""81432147039"", ""81432147044"", ""81432147046"", ""81432147049"", ""81432147055"", ""81432147056"", ""81432147061"", ""81432147062"", ""81432147064"", ""81432147068"", ""81432147076""]",31,bfe1b3741095df33
