phase,phase_name,dataset_key,target_N_star,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_set_hash,selected_sensor_order,sensor_id,station_name,latitude,longitude
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,1,81432130008,Lucknow Cantonment,26.8209,80.94863
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,2,81432131005,Husainabad,26.8702,80.90413
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,3,81432131006,Nishat Ganj,26.86539,80.9547
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,4,81432131011,Aminabad,26.84833,80.92333
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,5,81432131012,Vrindavan Yojana,26.78063,80.95589
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,6,81432131013,Kakori,26.9043353,80.7653765
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,7,81432131014,"Gomti Nagar, Lucknow - UPPCB",26.86469,81.00491
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,8,81432144007,Dashauli,26.95845,80.99923
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,9,81432144008,Chak Ganjaria,26.79835,81.02416
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,10,81432144009,Awadh_vihar_yojna,26.76477,80.97511
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,11,81432144014,Nigoha,26.55383,81.04667
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,12,81432144015,Mohanlalganj,26.65071,80.99416
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,13,81432144020,HariharNagar,26.88341,81.01356
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,14,81432144022,Virat Khand,26.85672,81.01856
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,15,81432144024,Umarbhari,26.95505,80.90484
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,16,81432144027,CIMAP,26.89483,80.98249
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,17,81432147001,Arjunganj,26.80726,80.99811
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,18,81432147004,Anand Nagar,26.82169,80.92019
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,19,81432147008,CMS_Kanpur Road,26.78976,80.8943
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,20,81432147033,Kukrail_LCS_uppcb,26.90727,80.9852
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,21,81432147036,Telibagh,26.79017,80.95862
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,22,81432147037,HariKansh_garhi,26.72429,80.97102
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,23,81432147038,Mall,27.01277,80.73623
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,24,81432147041,UniWrld IndNagar,26.88362,80.9927
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,25,81432147047,Aliganj -II,26.88364,80.93675
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,26,81432147049,Bijnor,26.73427,80.89255
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,27,81432147054,Malhaur,26.8517,81.05057
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,28,81432147057,Fazullaganj,26.89364,80.92507
3,phase3_lucknow_downsampling,lucknow_lcs,31,0,1186412529,990205548,61ccb0cd22b092b9,29,81432147060,Shanti Nagar,26.75587,80.87343
