target_N_star,selection_strategy,selection_strategy_label,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
50,anti_cluster,Anti-cluster,2025-09-01,5,0.5367446808510645,0.5269851063829777,0.5310319148936169,0.5425531914893633,0.551546808510639,0.5384531914893615,0.009352436369503522,20
50,anti_cluster,Anti-cluster,2025-09-01,10,0.35896808510638145,0.3497872340425531,0.3567021276595732,0.36185638297872535,0.36615744680851037,0.3588095744680847,0.0050831907302686255,20
50,anti_cluster,Anti-cluster,2025-09-01,20,0.21974999999999945,0.21493404255319123,0.21725398936170137,0.2214999999999998,0.22376223404255363,0.21958617021276586,0.0034931691494858538,20
50,anti_cluster,Anti-cluster,2025-09-02,5,0.5182500000000001,0.5066437499999994,0.5125625000000009,0.5258958333333339,0.5378604166666658,0.5198229166666669,0.01039640024119613,20
50,anti_cluster,Anti-cluster,2025-09-02,10,0.35874999999999835,0.35251458333333296,0.35568749999999993,0.3593541666666682,0.3661020833333338,0.35817916666666677,0.004673575321587301,20
50,anti_cluster,Anti-cluster,2025-09-02,20,0.2212916666666671,0.21732499999999977,0.219208333333333,0.22377083333333192,0.227960416666666,0.22165000000000004,0.0033982279523850955,20
50,anti_cluster,Anti-cluster,2025-09-03,5,0.34468750000000004,0.3396020833333317,0.34297916666666617,0.3486354166666674,0.3616124999999991,0.34677916666666614,0.007260303477055715,20
50,anti_cluster,Anti-cluster,2025-09-03,10,0.28343749999999845,0.2779250000000014,0.28045833333333414,0.28481250000000147,0.28795833333333243,0.2833499999999997,0.004490413765954172,20
50,anti_cluster,Anti-cluster,2025-09-03,20,0.19899999999999984,0.1932770833333354,0.19673958333333608,0.20205208333333324,0.20411250000000272,0.1990208333333341,0.0035799019678499264,20
50,anti_cluster,Anti-cluster,2025-09-04,5,0.37800000000000056,0.3699854166666676,0.3758958333333342,0.3809479166666674,0.38588333333333563,0.3786312500000001,0.005434186830902325,20
50,anti_cluster,Anti-cluster,2025-09-04,10,0.3120000000000003,0.30536041666666697,0.30803125000000087,0.31302083333333286,0.3185604166666665,0.3112312500000002,0.004270300565828722,20
50,anti_cluster,Anti-cluster,2025-09-04,20,0.21470833333333328,0.21091458333333185,0.21265624999999821,0.21611458333333622,0.21660208333333458,0.21430833333333368,0.002353507709359878,20
50,anti_cluster,Anti-cluster,2025-09-05,5,0.37504166666666805,0.3699520833333351,0.3733645833333319,0.3773645833333332,0.3847854166666651,0.3761458333333331,0.006078818019053634,20
50,anti_cluster,Anti-cluster,2025-09-05,10,0.293166666666667,0.2872020833333332,0.2895625000000006,0.29727083333333226,0.29884166666666817,0.2934062499999997,0.004610740920372016,20
50,anti_cluster,Anti-cluster,2025-09-05,20,0.19518749999999763,0.19255416666666836,0.19403125000000165,0.19640625000000034,0.19791874999999823,0.19515416666666643,0.001877756258743667,20
50,anti_cluster,Anti-cluster,2025-09-06,5,0.09884485815602817,0.0965166666666661,0.09791666666666687,0.10071874999999997,0.10622916666666664,0.1000240691489362,0.003527827603098943,20
50,anti_cluster,Anti-cluster,2025-09-06,10,0.06604166666666789,0.06477916666666639,0.06532291666666712,0.06728124999999996,0.07013333333333364,0.066665735815603,0.0018666813485460573,20
50,anti_cluster,Anti-cluster,2025-09-06,20,0.040374999999999606,0.03935624999999972,0.03969791666666733,0.04098958333333358,0.043129166666666885,0.040667597517730525,0.0013650025615746647,20
50,anti_cluster,Anti-cluster,2025-09-07,5,0.2518749999999996,0.2480104166666675,0.25094791666666594,0.25318750000000056,0.2627312499999996,0.2535218971631206,0.007726841581053506,20
50,anti_cluster,Anti-cluster,2025-09-07,10,0.1671041666666666,0.16586312056737534,0.16650000000000054,0.16831249999999986,0.17331875000000063,0.1685718528368796,0.005624838054391493,20
50,anti_cluster,Anti-cluster,2025-09-07,20,0.1015625,0.0997437500000002,0.10057291666666823,0.102927083333333,0.10650625000000016,0.10255518617021284,0.004052982587866813,20
50,anti_cluster,Anti-cluster,2025-09-08,5,0.21089583333333373,0.19233124999999976,0.2086875000000007,0.21649999999999903,0.23065833333333302,0.21308958333333355,0.010977626061223478,20
50,anti_cluster,Anti-cluster,2025-09-08,10,0.15177083333333297,0.1392437500000002,0.14985416666666707,0.15532291666666698,0.16358750000000052,0.15197916666666703,0.007117108587700736,20
50,anti_cluster,Anti-cluster,2025-09-08,20,0.09589583333333396,0.08771041666666682,0.09427083333333464,0.09685416666666491,0.09975624999999928,0.09522500000000007,0.0037778546388811695,20
50,anti_cluster,Anti-cluster,2025-09-09,5,0.18591666666666606,0.17860833333333487,0.18173958333333307,0.18827083333333383,0.1913187499999996,0.18536250000000015,0.004572677005868634,20
50,anti_cluster,Anti-cluster,2025-09-09,10,0.1348749999999992,0.12965833333333365,0.1335833333333336,0.13771875000000122,0.14010000000000056,0.13534166666666692,0.0033035013765747127,20
50,anti_cluster,Anti-cluster,2025-09-09,20,0.08466666666666622,0.08293333333333441,0.08381249999999829,0.08594791666666812,0.08778749999999982,0.08501458333333345,0.0017166451093010306,20
50,anti_cluster,Anti-cluster,2025-09-10,5,0.2947916666666668,0.2879312499999995,0.2920416666666661,0.3034270833333339,0.308864583333333,0.298175,0.009702054478877923,20
50,anti_cluster,Anti-cluster,2025-09-10,10,0.22766666666666602,0.2230333333333332,0.22604166666666559,0.23064583333333344,0.23716458333333254,0.23078333333333267,0.012382743899928772,20
50,anti_cluster,Anti-cluster,2025-09-10,20,0.1527916666666682,0.1489395833333337,0.15133333333333399,0.15413541666666752,0.15948750000000042,0.15658750000000027,0.018805001687059043,20
50,anti_cluster,Anti-cluster,2025-09-11,5,0.37162500000000076,0.3544770833333346,0.3665208333333321,0.37628125000000057,0.38176041666666594,0.3705791666666666,0.009338216337005725,20
50,anti_cluster,Anti-cluster,2025-09-11,10,0.2880208333333334,0.2799395833333335,0.2825208333333351,0.2893750000000015,0.29435833333333183,0.28692708333333317,0.005561867530900514,20
50,anti_cluster,Anti-cluster,2025-09-11,20,0.19002083333333353,0.18624791666666426,0.18849999999999856,0.19144791666666827,0.19527708333333474,0.1902749999999996,0.002751408464407715,20
50,anti_cluster,Anti-cluster,2025-09-12,5,0.42999999999999794,0.4190666666666648,0.4263125000000001,0.43973958333333263,0.4561812499999998,0.433195833333333,0.011865228358774097,20
50,anti_cluster,Anti-cluster,2025-09-12,10,0.3230000000000013,0.3139187500000029,0.31888541666666703,0.32617708333333284,0.3320520833333331,0.32278125,0.005844973896134405,20
50,anti_cluster,Anti-cluster,2025-09-12,20,0.21127083333333108,0.2065541666666677,0.2084375000000005,0.21293749999999756,0.21457499999999924,0.2108666666666667,0.0029100991221234955,20
