target_N_star,selection_strategy,selection_strategy_label,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
50,anti_cluster,Anti-cluster,2025-09-01,5,0.5402962962962952,0.5273074074074093,0.536407407407409,0.5451018518518524,0.5607629629629621,0.5410814814814818,0.009845405268925826,20
50,anti_cluster,Anti-cluster,2025-09-01,10,0.36429629629629545,0.3504074074074088,0.3585462962962953,0.36872685185185206,0.37768796296296053,0.36383796296296345,0.007959666290251577,20
50,anti_cluster,Anti-cluster,2025-09-01,20,0.22509259259259018,0.21530740740740986,0.22115740740740852,0.226907407407408,0.2402245370370409,0.22555509259259304,0.007613643068913337,20
50,anti_cluster,Anti-cluster,2025-09-02,5,0.5259999999999998,0.517666666666667,0.5234722222222241,0.5339722222222234,0.5460629629629656,0.5282500000000003,0.009142775095003188,20
50,anti_cluster,Anti-cluster,2025-09-02,10,0.3709629629629636,0.36290185185185136,0.36599999999999877,0.3749814814814816,0.38109814814814846,0.37099999999999966,0.005810526596991628,20
50,anti_cluster,Anti-cluster,2025-09-02,20,0.24878703703703442,0.23993703703703564,0.24233796296296517,0.2519120370370358,0.2716120370370351,0.2497666666666658,0.009910644021429158,20
50,anti_cluster,Anti-cluster,2025-09-03,5,0.3117407407407411,0.30164074074074215,0.30574074074074176,0.3158055555555568,0.3478407407407416,0.3142574074074079,0.013153368949472742,20
50,anti_cluster,Anti-cluster,2025-09-03,10,0.2461296296296287,0.23923333333333066,0.2435648148148153,0.24874074074074315,0.2706333333333329,0.24832500000000005,0.009433748625685863,20
50,anti_cluster,Anti-cluster,2025-09-03,20,0.19924999999999926,0.19293703703703674,0.1972407407407406,0.2040624999999998,0.21198425925925918,0.20097361111111098,0.006037413192068642,20
50,anti_cluster,Anti-cluster,2025-09-04,5,0.3290000000000002,0.32341481481481704,0.3258148148148159,0.33390740740740643,0.33671481481481563,0.33020370370370417,0.007483078400583808,20
50,anti_cluster,Anti-cluster,2025-09-04,10,0.30765740740740766,0.2939666666666684,0.3017361111111112,0.3150648148148152,0.33771481481481674,0.3108203703703711,0.014795865195592358,20
50,anti_cluster,Anti-cluster,2025-09-04,20,0.369064814814815,0.33966481481481514,0.35687731481481455,0.37631481481481655,0.41148981481481745,0.3695648148148153,0.022039587588079855,20
50,anti_cluster,Anti-cluster,2025-09-05,5,0.4054444444444445,0.3893444444444449,0.3994444444444447,0.40666666666666607,0.42182222222222177,0.4047222222222224,0.010426605395093012,20
50,anti_cluster,Anti-cluster,2025-09-05,10,0.414499999999999,0.3814249999999997,0.39919444444444574,0.41794444444444423,0.4414944444444468,0.4104055555555558,0.020350567106261694,20
50,anti_cluster,Anti-cluster,2025-09-05,20,0.4670694444444443,0.40631944444444523,0.4564444444444451,0.4728194444444447,0.4973694444444443,0.4615319444444448,0.025726838714913346,20
50,anti_cluster,Anti-cluster,2025-09-06,5,0.25840740740740786,0.23930740740740733,0.24540740740740752,0.26190740740740837,0.2654074074074071,0.2548074074074078,0.009315521851642158,20
50,anti_cluster,Anti-cluster,2025-09-06,10,0.25990740740740725,0.2352074074074086,0.2449074074074078,0.26303240740740785,0.2634074074074082,0.25388240740740803,0.01097302314050697,20
50,anti_cluster,Anti-cluster,2025-09-06,20,0.2601574074074078,0.23338240740740793,0.24578240740740798,0.2614074074074084,0.2634324074074073,0.2535324074074077,0.01067445918758262,20
50,anti_cluster,Anti-cluster,2025-09-07,5,0.4924814814814824,0.47828148148148175,0.4884814814814815,0.4969814814814817,0.5019314814814818,0.4919314814814818,0.00846960509860507,20
50,anti_cluster,Anti-cluster,2025-09-07,10,0.49748148148148186,0.4753814814814811,0.4914814814814821,0.4984814814814823,0.5067814814814818,0.49428148148148193,0.011971896916924858,20
50,anti_cluster,Anti-cluster,2025-09-07,20,0.4999814814814809,0.4808564814814813,0.49698148148148236,0.5031064814814813,0.5116814814814813,0.49719398148148164,0.013693850665632204,20
50,anti_cluster,Anti-cluster,2025-09-08,5,0.5054797047970476,0.47817970479704747,0.4932297047970474,0.5144797047970473,0.5304797047970471,0.5036797047970472,0.017813655318026977,20
50,anti_cluster,Anti-cluster,2025-09-08,10,0.5119797047970471,0.47405470479704703,0.4984797047970462,0.5207297047970467,0.5395797047970474,0.5084797047970471,0.021569349598568363,20
50,anti_cluster,Anti-cluster,2025-09-08,20,0.515479704797047,0.47545470479704566,0.5031672047970467,0.5221047047970472,0.5507672047970474,0.512879704797047,0.022468896630442062,20
50,anti_cluster,Anti-cluster,2025-09-09,5,0.36255350553505483,0.33655350553505414,0.34205350553505465,0.369053505535055,0.3799035055350552,0.3589035055350549,0.015911845967871454,20
50,anti_cluster,Anti-cluster,2025-09-09,10,0.3845535055350551,0.35035350553505445,0.36217850553505526,0.3900535055350547,0.40125350553505423,0.3787035055350549,0.018297325084917486,20
50,anti_cluster,Anti-cluster,2025-09-09,20,0.40255350553505487,0.36402850553505406,0.37667850553505544,0.4066785055350548,0.4179785055350546,0.3945785055350552,0.018231858322583012,20
50,anti_cluster,Anti-cluster,2025-09-10,5,0.43043542435424165,0.40233542435424285,0.41243542435424096,0.43793542435424193,0.4597354243542404,0.4305636531365297,0.020699879208265035,20
50,anti_cluster,Anti-cluster,2025-09-10,10,0.4576854243542412,0.41643542435424225,0.44468542435424063,0.46443542435424057,0.4820854243542401,0.4539354243542416,0.02016445543916045,20
50,anti_cluster,Anti-cluster,2025-09-10,20,0.49543542435424204,0.44643542435424194,0.47362292435424136,0.501435424354242,0.5217229243542426,0.4837854243542415,0.04103507806229841,20
50,anti_cluster,Anti-cluster,2025-09-11,5,0.3712767527675265,0.34717675276752563,0.36786162361623687,0.3773616236162358,0.38725092250922544,0.37033302583025784,0.013564699372429918,20
50,anti_cluster,Anti-cluster,2025-09-11,10,0.28877675276752646,0.27255092250922464,0.2818325645756443,0.2913325645756448,0.30344907749077416,0.2871272140221395,0.009704363650493198,20
50,anti_cluster,Anti-cluster,2025-09-11,20,0.19061162361623651,0.1852240774907738,0.18859824723247343,0.1930982472324736,0.19532675276752628,0.1906026752767526,0.0033834344347699217,20
50,anti_cluster,Anti-cluster,2025-09-12,5,0.43108487084870806,0.41386974169741747,0.42216974169741794,0.44283025830258405,0.45631125461254474,0.43230940959409603,0.014219384068982521,20
50,anti_cluster,Anti-cluster,2025-09-12,10,0.32266974169741713,0.30915276752767534,0.314457564575646,0.3272075645756458,0.3310887453874543,0.3212500000000001,0.007706214433758401,20
50,anti_cluster,Anti-cluster,2025-09-12,20,0.2114197416974175,0.20571374538745432,0.20883025830258317,0.2135601937269378,0.21620276752767373,0.2112330258302583,0.0035345928924085863,20
50,anti_cluster,Anti-cluster,2025-09-13,5,0.3241666666666676,0.3148666666666671,0.32033333333333225,0.3266666666666658,0.34173333333333356,0.32584999999999986,0.011628496455886157,20
50,anti_cluster,Anti-cluster,2025-09-13,10,0.3213333333333326,0.30433333333333223,0.3112499999999989,0.32599999999999985,0.35793333333333366,0.3246249999999995,0.020398004360019067,20
50,anti_cluster,Anti-cluster,2025-09-13,20,0.39470833333333344,0.36445833333333183,0.3800208333333328,0.3995833333333323,0.43069583333333455,0.393545833333333,0.0220855506169223,20
50,anti_cluster,Anti-cluster,2025-09-14,5,0.48331481481481386,0.4684666666666656,0.47831481481481575,0.48868518518518567,0.511666666666667,0.4857759259259263,0.014614244013201421,20
50,anti_cluster,Anti-cluster,2025-09-14,10,0.3906851851851849,0.3873203703703698,0.38937037037037214,0.39781481481481595,0.4156203703703743,0.3959787037037049,0.012472359556473326,20
50,anti_cluster,Anti-cluster,2025-09-14,20,0.39574537037037416,0.37932037037036953,0.3873425925925922,0.41087037037037266,0.4591703703703717,0.4035083333333347,0.025993153213300316,20
50,anti_cluster,Anti-cluster,2025-09-15,5,0.399,0.3693567164179107,0.39565671641791056,0.4040858208955236,0.42450895522388066,0.39772985074626854,0.016194502909022603,20
50,anti_cluster,Anti-cluster,2025-09-15,10,0.31950000000000056,0.30155671641791104,0.3122891791044773,0.32259328358209105,0.32889104477611764,0.3174264925373134,0.009469313460023563,20
50,anti_cluster,Anti-cluster,2025-09-15,20,0.2280932835820888,0.2254921641791039,0.2270317164179103,0.23115671641790891,0.23519104477612046,0.2291970149253726,0.0031017198005115682,20
50,anti_cluster,Anti-cluster,2025-09-16,5,0.6175464684014873,0.5685726765799239,0.5944098513011158,0.6255901486988851,0.6380464684014868,0.6112185873605949,0.024506142382424396,20
50,anti_cluster,Anti-cluster,2025-09-16,10,0.4752267657992566,0.440408178438663,0.4450901486988852,0.48197676579925774,0.4945476765799252,0.46916161710037196,0.019346470536508963,20
50,anti_cluster,Anti-cluster,2025-09-16,20,0.3067964684014868,0.2789273234200742,0.2898750000000003,0.31467146840148796,0.32684646840148696,0.304775557620818,0.015823121520521517,20
50,anti_cluster,Anti-cluster,2025-09-17,5,0.6031189591078085,0.5856810408921932,0.597618959107808,0.6099405204460977,0.6287070631970281,0.6046797397769524,0.013176699869201421,20
50,anti_cluster,Anti-cluster,2025-09-17,10,0.4834999999999994,0.47369293680297053,0.47811895910780855,0.500654739776951,0.5171679368029716,0.48968568773234206,0.01613747196351459,20
50,anti_cluster,Anti-cluster,2025-09-17,20,0.4372439591078079,0.40471895910780714,0.4323689591078088,0.46255645910780885,0.5248814591078086,0.4500814591078085,0.042911036719804646,20
50,anti_cluster,Anti-cluster,2025-09-18,5,0.559000000000001,0.5276033457249085,0.5500483271375458,0.5629033457249069,0.584003345724911,0.5567565055762088,0.016945235852508005,20
50,anti_cluster,Anti-cluster,2025-09-18,10,0.43900000000000006,0.4117369888475836,0.4267983271375453,0.44754832713754666,0.4532869888475831,0.4366960037174724,0.014034562657546058,20
50,anti_cluster,Anti-cluster,2025-09-18,20,0.3044033457249089,0.296275,0.30009665427509047,0.305673327137546,0.3088716542750906,0.3030491635687723,0.004973033668423211,20
50,anti_cluster,Anti-cluster,2025-09-19,5,0.45916356877323583,0.4301472118959115,0.4558364312267651,0.4660408921933088,0.47395817843866167,0.45749182156133833,0.015406934303773503,20
50,anti_cluster,Anti-cluster,2025-09-19,10,0.35799999999999876,0.3466864312267659,0.3525864312267659,0.3611682156133815,0.36600278810409015,0.35766682156133844,0.009158577914778738,20
50,anti_cluster,Anti-cluster,2025-09-19,20,0.2980864312267659,0.28122067843866183,0.28858178438661763,0.3050864312267656,0.33853643122676447,0.30186868029739744,0.019177091224862105,20
50,anti_cluster,Anti-cluster,2025-09-20,5,0.5721940298507482,0.5291843283582106,0.5461940298507473,0.5816940298507474,0.6061940298507469,0.5665843283582105,0.026213043356353917,20
50,anti_cluster,Anti-cluster,2025-09-20,10,0.6441940298507474,0.6020190298507465,0.6243190298507482,0.6594440298507487,0.6817440298507483,0.6436690298507477,0.03168781726717535,20
50,anti_cluster,Anti-cluster,2025-09-20,20,0.7780690298507467,0.720769029850747,0.7500065298507468,0.7871940298507467,0.8072440298507468,0.7703190298507471,0.03182368159918552,20
