target_N_star,selection_strategy,selection_strategy_label,time_index,selected_mean_abs_error_median_vs_full_ugm3,selected_mean_abs_error_p5_vs_full_ugm3,value_p25,value_p75,selected_mean_abs_error_p95_vs_full_ugm3,selected_mean_abs_error_mean_vs_full_ugm3,selected_mean_abs_error_sd_vs_full_ugm3,n_outer_draws,selected_mean_ape_median_vs_full_pct,selected_mean_ape_p5_vs_full_pct,selected_mean_ape_p95_vs_full_pct
50,anti_cluster,Anti-cluster,2025-09-01,0.07921591804570927,0.011992513790390725,0.041769109535071625,0.09166272655634877,0.11815208825847538,0.07048581560284087,0.03657920908194092,20,0.9092117782835193,0.13764575426821526,1.356107117403008
50,anti_cluster,Anti-cluster,2025-09-02,0.1659328703703693,0.14125578703703648,0.14478703703703566,0.18270370370370337,0.22604745370370302,0.16740162037036938,0.027725474103988644,20,1.6583275652106217,1.4117056184599612,2.259110703538228
50,anti_cluster,Anti-cluster,2025-09-03,0.1564675925925929,0.06771759259259191,0.14485300925925904,0.15922800925925928,0.19719675925925895,0.14971759259259249,0.03492443021759123,20,1.3826794615417373,0.5984096956525949,1.7425966897842802
50,anti_cluster,Anti-cluster,2025-09-04,0.39181481481481484,0.3582731481481467,0.3827002314814818,0.3936377314814816,0.432804398148149,0.39113773148148123,0.021776026619738927,20,2.9723890095501937,2.7179349215670183,3.283344548747017
50,anti_cluster,Anti-cluster,2025-09-05,0.48156944444444605,0.417194444444446,0.4685486111111139,0.48255902777777937,0.5152048611111113,0.47560069444444614,0.025699042134486483,20,3.975495546729542,3.444061235908691,4.253165674503078
50,anti_cluster,Anti-cluster,2025-09-06,0.2601458825847116,0.23332407407407363,0.24603240740740673,0.2614490740740729,0.2617719907407395,0.25349583825847033,0.01049781357713518,20,5.6000660387696435,5.022682697367362,5.635070679125512
50,anti_cluster,Anti-cluster,2025-09-07,0.5006064814814799,0.48349876871552294,0.4965439814814798,0.5037835648148128,0.5117002314814807,0.49766166765169295,0.014221993895843575,20,7.651630087122882,7.3901434812474145,7.8211949537778604
50,anti_cluster,Anti-cluster,2025-09-08,0.5156880381303788,0.4740213714637118,0.5053234547970451,0.5245942881303793,0.5521776214637135,0.5138859547970457,0.022812189575714095,20,7.211936253513436,6.6292247657972485,7.722245838880904
50,anti_cluster,Anti-cluster,2025-09-09,0.404824338868389,0.36555350553505583,0.3799805888683887,0.4072201722017228,0.4208347555350557,0.3970118388683891,0.01815138480854388,20,5.6299468261625245,5.083802036291985,5.852605855878977
50,anti_cluster,Anti-cluster,2025-09-10,0.5045187576875776,0.4573312576875761,0.48451875768757624,0.5112375076875768,0.5313520910209099,0.49158125768757677,0.04731269337025087,20,4.9402393917166885,4.478180166475759,5.2029909511472745
