phase,city,metric_name,target_N_star,selection_strategy,selection_strategy_label,aggregation,value_median,value_p5,value_p95,value_mean,value_sd,n_outer_draws,n_inner_draws,notes
4,Chicago,mdape_at_n10,30,anti_cluster,Anti-cluster,period,2.5039087760144465,2.413362588881929,2.576798274611393,2.4932912705217953,0.0679710873698016,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,30,anti_cluster,Anti-cluster,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,30,anti_cluster,Anti-cluster,period,3.0,2.0,3.0,2.8,0.4103913408340616,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,30,circumferential,Circumferential,period,1.6203678694794394,1.39833754985567,2.4701251873661976,1.8479641806150129,0.4599233402240322,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,30,circumferential,Circumferential,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,30,circumferential,Circumferential,period,2.0,2.0,3.0,2.15,0.3663475485325232,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,30,cluster_concentrated,Cluster-concentrated,period,1.5922111976784403,1.2070651454724577,2.5079538933779917,1.723215360271904,0.5910577141937493,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,30,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,30,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,30,equidistant,Spatially balanced,period,1.9569693892942364,1.5091120756533585,2.6943188246072607,2.1412577046212733,0.5615406901038775,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,30,equidistant,Spatially balanced,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,30,equidistant,Spatially balanced,period,2.0,2.0,4.0,2.4,0.6700593942604899,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,30,kmeans_stratified,k-means stratified,period,1.7405527943331212,1.2262171307792071,3.816354481580913,2.094145187137529,0.9193694673451768,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,30,kmeans_stratified,k-means stratified,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,30,kmeans_stratified,k-means stratified,period,2.0,2.0,3.0,2.12,0.328260722659316,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,30,random,Random,period,1.5970404955047006,1.0533493616640743,3.596865516527384,1.8673821203885868,0.809024522555989,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,30,random,Random,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,30,random,Random,period,2.0,2.0,2.549999999999997,2.06,0.2398979374820952,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,50,anti_cluster,Anti-cluster,period,2.255333347898062,2.222294101175609,2.283037713613496,2.251853375335544,0.0213802542676941,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,50,anti_cluster,Anti-cluster,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,50,anti_cluster,Anti-cluster,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,50,circumferential,Circumferential,period,2.100291051106337,1.4129564939034431,2.336877536636764,1.982744086571359,0.3269370452387653,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,50,circumferential,Circumferential,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,50,circumferential,Circumferential,period,2.0,2.0,2.0500000000000007,2.05,0.2236067977499789,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,50,cluster_concentrated,Cluster-concentrated,period,1.639909398695405,1.3541509836956978,2.0667835789501474,1.7005853925134589,0.2613514331942129,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,50,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,50,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,50,equidistant,Spatially balanced,period,2.2204600722395647,1.657083946681468,2.9122637640834803,2.2104322581694267,0.4038491233329781,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,50,equidistant,Spatially balanced,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,50,equidistant,Spatially balanced,period,2.0,2.0,2.549999999999997,2.06,0.2398979374820952,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,50,kmeans_stratified,k-means stratified,period,1.7471811627362892,1.408120227240995,2.658078119225727,1.8569624470532131,0.4128618578169996,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,50,kmeans_stratified,k-means stratified,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,50,kmeans_stratified,k-means stratified,period,2.0,2.0,2.0,2.02,0.1414213562373095,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,50,random,Random,period,1.7365496836033696,1.3590480246733392,2.491998909441471,1.8042961870791616,0.3759293404051466,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,50,random,Random,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,50,random,Random,period,2.0,2.0,2.0,2.02,0.1414213562373094,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,70,anti_cluster,Anti-cluster,period,2.0415565893806984,1.9889712468556835,2.0900517897352175,2.0437365275562565,0.034437521733384,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,anti_cluster,Anti-cluster,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,70,anti_cluster,Anti-cluster,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,70,circumferential,Circumferential,period,2.1055904898579474,1.69020999375587,2.4260249009816968,2.0656409601447647,0.2551345094692794,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,circumferential,Circumferential,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,70,circumferential,Circumferential,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,70,cluster_concentrated,Cluster-concentrated,period,1.7801430998979646,1.5377057681290598,2.210365255254719,1.8133991842433788,0.2297017766910817,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,70,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,70,equidistant,Spatially balanced,period,2.154093725016189,1.7706072405988045,2.5754624240615787,2.156161692875968,0.2258219023837304,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,equidistant,Spatially balanced,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
