target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
30,anti_cluster,Anti-cluster,2,0.5271941576453827,0.47483882676303135,0.49656487741932587,0.5489899093793182,0.5661374317756538,0.522234686246995,0.032527199631020624,20
30,anti_cluster,Anti-cluster,3,0.45682568568018667,0.41178926393966825,0.4216847987698997,0.46588574131643856,0.4745766680069687,0.44568147631843935,0.024241330541803205,20
30,anti_cluster,Anti-cluster,4,0.4005408612736554,0.368405188458371,0.37965737841226455,0.4115438608106927,0.41659583988185284,0.3961035457065387,0.01869670821746,20
30,anti_cluster,Anti-cluster,5,0.3670007037110068,0.339411528424742,0.344405001823636,0.3697506316680701,0.3782621825092064,0.35914861761077704,0.014923723498492213,20
30,anti_cluster,Anti-cluster,6,0.3307401350096555,0.31234586240724826,0.31911049812274395,0.33673164949434486,0.3437531519065197,0.32821054113632525,0.01140383780031015,20
30,anti_cluster,Anti-cluster,7,0.3028234896451045,0.29125146050675843,0.29428829644132204,0.30720924739766087,0.3128890990529648,0.3015977641391502,0.007985611059769478,20
30,anti_cluster,Anti-cluster,8,0.2784707438518388,0.2704807121909836,0.27406999832463064,0.28511531458220407,0.29044695857402897,0.2795404273973897,0.007266186316821381,20
30,anti_cluster,Anti-cluster,9,0.26036834517974095,0.25290266933182703,0.2558166353317102,0.26391623003289877,0.26790849824135504,0.2599706749179321,0.00533291157729062,20
30,anti_cluster,Anti-cluster,10,0.24335415919775594,0.23540319499862106,0.23719811653614675,0.24721056809555164,0.2500283303944454,0.24234648396059164,0.006134513792402077,20
30,anti_cluster,Anti-cluster,11,0.22638706621441562,0.2188248176505772,0.22292403627984125,0.2289797077713731,0.2321662045994731,0.22589918175388818,0.004500129142147635,20
30,anti_cluster,Anti-cluster,12,0.21245557914557045,0.20760842792629855,0.20968030889859102,0.21498580384268307,0.21744048283563794,0.21256510844726623,0.0036004942083156365,20
30,anti_cluster,Anti-cluster,13,0.19693131460718982,0.19367679649024616,0.19579688673244133,0.20091155459661558,0.2047985785782036,0.19828758108598182,0.0038666702598669682,20
30,anti_cluster,Anti-cluster,14,0.18453469555488322,0.18227219684854026,0.1835651854607121,0.18862827643379543,0.19104721634405392,0.18587279575522242,0.0032624016050451267,20
