target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
30,anti_cluster,Anti-cluster,2,5.434179065648805,4.880171639044257,5.093800365778818,5.6523829166253154,5.864285908671294,5.373198004259336,0.3453639868567206,20
30,anti_cluster,Anti-cluster,3,4.708921223205804,4.230238909190676,4.325672970373904,4.807353251231805,4.885318641729289,4.585467009013028,0.2580236749979733,20
30,anti_cluster,Anti-cluster,4,4.120487078759396,3.7865958946977165,3.8899554218932213,4.24704634321306,4.325621726322973,4.0753097543724035,0.1998607865195279,20
30,anti_cluster,Anti-cluster,5,3.786080102581896,3.4770568728528106,3.5321684042203723,3.8212099570514892,3.882488913931663,3.6950287418227092,0.15942495561779935,20
30,anti_cluster,Anti-cluster,6,3.4098671374731797,3.2035388091521124,3.2706434566059466,3.4707774700151734,3.5365704280936225,3.3767004415499513,0.12301550057176654,20
30,anti_cluster,Anti-cluster,7,3.119721009472515,2.9861914430139818,3.0188305873594756,3.1683007091993893,3.220894786660989,3.102856082036338,0.08720231328754482,20
30,anti_cluster,Anti-cluster,8,2.8656082129352436,2.7719575063000095,2.8096475872697826,2.936494893294794,2.988398930540123,2.875891111849819,0.07804383466374268,20
30,anti_cluster,Anti-cluster,9,2.6836458359618542,2.5977442675410254,2.630033664699992,2.7237898954138493,2.751367346532583,2.674561920845746,0.058894539851973154,20
30,anti_cluster,Anti-cluster,10,2.5039087760144465,2.413362588881929,2.438552644021666,2.553479145892525,2.576798274611393,2.493291270521795,0.06797108736980158,20
30,anti_cluster,Anti-cluster,11,2.333267471575219,2.2415050092698694,2.290784819835946,2.363751421270962,2.3951569011611884,2.324021482270509,0.049141760300826266,20
30,anti_cluster,Anti-cluster,12,2.189801252856877,2.12891185901006,2.1579954595990927,2.2144804466334116,2.238341911526671,2.186824972391227,0.039163674349598686,20
30,anti_cluster,Anti-cluster,13,2.024268321083319,1.9923449647374805,2.00868331244864,2.074076224293977,2.1041898812343587,2.0399286124550366,0.04089637480848725,20
30,anti_cluster,Anti-cluster,14,1.900253950975896,1.8732627084237146,1.8824483306261794,1.9402491421806394,1.9708755753794314,1.9122190107349113,0.035356588732884504,20
30,anti_cluster,Anti-cluster,15,1.7761503293974163,1.7367300915554982,1.7623961169430733,1.807570048225605,1.828701054516141,1.7848472271681282,0.03206815639488109,20
30,anti_cluster,Anti-cluster,16,1.6687804735768565,1.6295262103535686,1.6495982439760963,1.6901293279563916,1.7165760688312768,1.6713275197719704,0.030158972189261835,20
30,anti_cluster,Anti-cluster,17,1.5610850370540832,1.5221537297722543,1.5331420927745156,1.578755293802607,1.5935691288176292,1.5592346709147447,0.031091835722140693,20
30,anti_cluster,Anti-cluster,18,1.4493549717113436,1.4183743600789989,1.4296705141827832,1.4707231326891383,1.4856646727524225,1.4517556068604347,0.02702643658979863,20
30,anti_cluster,Anti-cluster,19,1.3539428055568228,1.3133888211533034,1.3345435742639604,1.3676710358260467,1.3842581268233038,1.3523014368160677,0.024736508305603908,20
30,anti_cluster,Anti-cluster,20,1.243195516586574,1.2014718851985566,1.2250067498053383,1.2670618437980443,1.2976883790663463,1.2465246646550454,0.029361569999553836,20
30,anti_cluster,Anti-cluster,21,1.1677626049793526,1.1123158891600073,1.1372610135871657,1.1794375839483136,1.1872416179160739,1.1574335623300906,0.026693965748390433,20
30,anti_cluster,Anti-cluster,22,1.0502800632391418,0.9997940939235146,1.0216872755709796,1.06622604761787,1.0867157953471913,1.0443529037840178,0.029173929494806548,20
30,anti_cluster,Anti-cluster,23,0.9367362449523717,0.9109914084434385,0.9214304119232306,0.9681651556918176,0.9841760750389965,0.9460056787948721,0.030175847332277295,20
30,anti_cluster,Anti-cluster,24,0.8585393110252111,0.8081497521716747,0.8166371231172356,0.872975361022966,0.8770075661376547,0.8457334986107456,0.02836659344577847,20
30,anti_cluster,Anti-cluster,25,0.7485602321315655,0.7000860329912434,0.709529313396948,0.7676809984711196,0.7770000914540874,0.740124416731704,0.029905201865447133,20
30,anti_cluster,Anti-cluster,26,0.6367472337085086,0.5862519316366904,0.5961469944097645,0.6532662694959446,0.6624985627938891,0.6261982098286414,0.032032793203291075,20
