phase,target_N_star,selection_strategy,selection_strategy_label,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_ids,selected_sensor_count,selected_sensor_set_hash
4,30,anti_cluster,Anti-cluster,0,514601521,4023953719,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFKYH6865"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,106c60fcc409c2d5
4,30,anti_cluster,Anti-cluster,1,3148406610,1580207194,"[""DACZY2913"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRCSL7614"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,2525a793fca751f2
4,30,anti_cluster,Anti-cluster,2,1242588106,3588572764,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMHRT7456"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,b4b811a328bbb355
4,30,anti_cluster,Anti-cluster,3,3037362302,218433128,"[""DACZY2913"", ""DDCVA2276"", ""DDQNT6485"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,264269623166b123
4,30,anti_cluster,Anti-cluster,4,3563053438,3876303055,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFIBC1899"", ""DFNBI6922"", ""DGDNA0617"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DVWMK9661"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,5b3368c80579c36f
4,30,anti_cluster,Anti-cluster,5,501556273,521911126,"[""DACZY2913"", ""DARLP7776"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,cb6e0a2336fd6b55
4,30,anti_cluster,Anti-cluster,6,2496317069,2866455226,"[""DACZY2913"", ""DDCVA2276"", ""DDVZB7943"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,0e0b0c99ab9235ac
4,30,anti_cluster,Anti-cluster,7,1175649470,1284594679,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DVCHA9392"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,4946abeed57523bb
4,30,anti_cluster,Anti-cluster,8,906097575,3148678218,"[""DACZY2913"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRCSL7614"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,2525a793fca751f2
4,30,anti_cluster,Anti-cluster,9,417366843,746682217,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DLNMW9381"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,99199d332819edfa
