sample_size,canonical_reference_mean_ugm3,madhwal_reference_mean_ugm3,madhwal_minus_canonical_reference_mean_ugm3,canonical_ape_median_pct,madhwal_ape_median_pct,madhwal_minus_canonical_ape_median_pct,canonical_ape_p95_pct,madhwal_ape_p95_pct,madhwal_minus_canonical_ape_p95_pct,canonical_absolute_error_median_ugm3,madhwal_absolute_error_median_ugm3,madhwal_minus_canonical_absolute_error_median_ugm3,canonical_absolute_error_p95_ugm3,madhwal_absolute_error_p95_ugm3,madhwal_minus_canonical_absolute_error_p95_ugm3,canonical_n_sensors_available,madhwal_n_sensors_available
2,61.802242631595966,51.46794024618637,-10.334302385409593,12.22688535272032,5.8640564632052135,-6.362828889515106,38.31675368707913,17.279236231447037,-21.03751745563209,7.55648935197528,3.0181090764850893,-4.538380275490191,23.68061308223964,8.893266978598547,-14.787346103641092,71,71
3,61.802242631595966,51.46794024618637,-10.334302385409593,10.406241274070622,4.801672459443246,-5.604568814627376,30.77101613352236,13.42136972226805,-17.34964641125431,6.431290481030409,2.4713219122438375,-3.9599685687865716,19.017178051047026,6.907702548876671,-12.109475502170355,71,71
4,61.802242631595966,51.46794024618637,-10.334302385409593,8.899538882547661,4.148152485710234,-4.751386396837427,26.468145248632645,11.365185800073617,-15.102959448559028,5.50011461328533,2.1349686426660384,-3.3651459706192917,16.357907346643188,5.8494270364499465,-10.508480310193242,71,71
5,61.802242631595966,51.46794024618637,-10.334302385409593,7.975001654931881,3.6329914754246313,-4.34201017950725,23.20699572337304,10.239467844078932,-12.967527879294108,4.928729872654795,1.869825881720594,-3.0589039909342013,14.342443804463109,5.270043191518012,-9.072400612945096,71,71
6,61.802242631595966,51.46794024618637,-10.334302385409593,7.2365949368086815,3.3337601993655124,-3.902834737443169,20.70744438577096,9.29760296893651,-11.40984141683445,4.47237796111229,1.7158177073605856,-2.7565602537517044,12.797665022096965,4.785284740379893,-8.012380281717071,71,71
7,61.802242631595966,51.46794024618637,-10.334302385409593,6.741922737625782,3.0181099223341707,-3.7238128152916117,19.466837861005704,8.503405832506461,-10.963432028499243,4.166659448342223,1.5533590113911728,-2.61330043695105,12.030942367558133,4.376527832765152,-7.654414534792981,71,71
8,61.802242631595966,51.46794024618637,-10.334302385409593,6.398127666712988,2.828854862471845,-3.569272804241143,18.00039147468695,7.938056576684545,-10.062334898002405,3.954186384461231,1.455953330268347,-2.498233054192884,11.124645613823144,4.085554215596469,-7.039091398226676,71,71
9,61.802242631595966,51.46794024618637,-10.334302385409593,5.794423997565589,2.658128411046336,-3.136295586519253,16.684159933105185,7.398039943891237,-9.286119989213947,3.581083978078908,1.3680839422642317,-2.2130000358146766,10.311185002901183,3.807618777710942,-6.503566225190241,71,71
10,61.802242631595966,51.46794024618637,-10.334302385409593,5.64059527866875,2.4679590050504197,-3.17263627361833,15.8114282047996,7.027613825055141,-8.78381437974446,3.486014379989207,1.2702076660197257,-2.2158067139694815,9.771817222650848,3.616968084212112,-6.154849138438736,71,71
11,61.802242631595966,51.46794024618637,-10.334302385409593,5.357137497458326,2.4023938583826663,-2.9547436390756596,14.841824879529826,6.743240311139193,-8.098584568390633,3.310831114287403,1.236462635510442,-2.074368478776961,9.1725806230036,3.470606893993872,-5.701973729009729,71,71
12,61.802242631595966,51.46794024618637,-10.334302385409593,4.891025348412384,2.208553393980743,-2.6824719544316413,14.301787829301572,6.2908887421081765,-8.010899087193396,3.022763352998684,1.13669694111913,-1.8860664118795538,8.838825614921019,3.2377908587423017,-5.601034756178717,71,71
13,61.802242631595966,51.46794024618637,-10.334302385409593,4.7927167824910155,2.087050770841582,-2.7056660116494333,13.5439643879928,5.888392033607731,-7.655572354385068,2.962006454560317,1.0741620436443178,-1.8878444109159993,8.370473733004262,3.030634093318426,-5.339839639685836,71,71
14,61.802242631595966,51.46794024618637,-10.334302385409593,4.624872707384435,2.032973685373892,-2.5918990220105433,12.925004504389648,5.804920181149635,-7.120084323240013,2.85827505202019,1.0463296816089276,-1.8119453704112622,7.987942643947598,2.987672850172908,-5.00026979377469,71,71
15,61.802242631595966,51.46794024618637,-10.334302385409593,4.270163298206924,1.909888964734016,-2.3602743334729084,12.383821294657915,5.528490121839225,-6.8553311728186905,2.639056682323204,0.9829805111378108,-1.656076171185393,7.6534792835877345,2.845399992424528,-4.808079291163207,71,71
16,61.802242631595966,51.46794024618637,-10.334302385409593,4.132439577260514,1.851922067785656,-2.2805175094748575,11.867456573259831,5.27047560238857,-6.596980970871261,2.5539403341426414,0.9531461432538606,-1.6007941908887808,7.334354305605326,2.7126052337271807,-4.6217490718781455,71,71
17,61.802242631595966,51.46794024618637,-10.334302385409593,3.9023306894661953,1.7843854181261072,-2.117945271340088,11.230040931233365,5.0815086847749855,-6.148532246458379,2.41172788099113,0.9183864207628076,-1.4933414602283221,6.940417143948384,2.6153478534847605,-4.325069290463624,71,71
18,61.802242631595966,51.46794024618637,-10.334302385409593,3.86965589734964,1.7305783594462951,-2.1390775379033453,11.113181220136912,4.896735452895355,-6.216445767241558,2.391534126687887,0.8906930359532517,-1.5008410907346352,6.868195221757971,2.520248876910004,-4.347946344847967,71,71
19,61.802242631595966,51.46794024618637,-10.334302385409593,3.71198043395444,1.64737438568136,-2.06460604827308,10.463399814448268,4.758660225824285,-5.7047395886239824,2.294087154229892,0.8478696644534622,-1.44621748977643,6.4666157408392815,2.449184401546281,-4.017431339293001,71,71
20,61.802242631595966,51.46794024618637,-10.334302385409593,3.60928260486568,1.5716642775803384,-2.0376183272853416,10.365688640466708,4.4985764235894115,-5.867112216877296,2.2306175927190743,0.8089032312557052,-1.4217143614633692,6.406228044017016,2.3153246256220266,-4.09090341839499,71,71
21,61.802242631595966,51.46794024618637,-10.334302385409593,3.377056458192568,1.5156508844982577,-1.8614055736943103,9.722767793612782,4.362202942847871,-5.360564850764911,2.087096626098152,0.7800742915743584,-1.3070223345237935,6.008888542315241,2.2451360040423256,-3.763752538272916,71,71
22,61.802242631595966,51.46794024618637,-10.334302385409593,3.320105031335766,1.5122460354017746,-1.8078589959339912,9.59507230664317,4.243726138632121,-5.351346168011049,2.0518993670899555,0.7783218858759078,-1.2735774812140477,5.929969867628683,2.184158433242972,-3.745811434385711,71,71
23,61.802242631595966,51.46794024618637,-10.334302385409593,3.299415346795855,1.4460597854733002,-1.8533555613225547,9.292532695271284,4.123576612046866,-5.168956083224417,2.0391126780508877,0.744257186311529,-1.2948554917393587,5.742993602951943,2.1223199466939975,-3.6206736562579453,71,71
24,61.802242631595966,51.46794024618637,-10.334302385409593,3.145186825084545,1.405679629462902,-1.739507195621643,8.810745965410556,3.969450691108624,-4.841295274301932,1.9437959928557405,0.7234743517447804,-1.22032164111096,5.445238599196585,2.042994509801619,-3.4022440893949657,71,71
25,61.802242631595966,51.46794024618637,-10.334302385409593,3.075812853471529,1.3264348843364524,-1.7493779691350766,8.69516912834588,3.858714278250394,-4.836454850095485,1.9009213225962895,0.6826887136748567,-1.2182326089214328,5.373809521927948,1.9860007590009745,-3.387808762926973,71,71
