dataset_key,city,sample_size,strategy,strategy_label,selection_order,sensor_index,sensor_id,station_name,latitude,longitude
dhaka_lcs,Dhaka,5,random_fixed,Random,1,5,81432130017,8. Vasantek,23.813502,90.390596
dhaka_lcs,Dhaka,5,random_fixed,Random,2,11,81432130033,"14. Hemayatpur, NAAFCO",23.7951568,90.2793403
dhaka_lcs,Dhaka,5,random_fixed,Random,3,15,81432130043,"17. Mirpur, Botanical",23.82199,90.34855
dhaka_lcs,Dhaka,5,random_fixed,Random,4,19,81432151014,64. Satarkul,23.793826,90.448119
dhaka_lcs,Dhaka,5,random_fixed,Random,5,27,81432151055,"61. Mugda, GMT",23.724946,90.447879
dhaka_lcs,Dhaka,5,max_ess,Max ESS,1,3,81432130014,"16. Narayangonj, Gognogor",23.59258046,90.50221399
dhaka_lcs,Dhaka,5,max_ess,Max ESS,2,9,81432130029,"13. Uttara, sector 10",23.8803339,90.3881508
dhaka_lcs,Dhaka,5,max_ess,Max ESS,3,10,81432130031,22. Uttar Khan,23.880623,90.442425
dhaka_lcs,Dhaka,5,max_ess,Max ESS,4,11,81432130033,"14. Hemayatpur, NAAFCO",23.7951568,90.2793403
dhaka_lcs,Dhaka,5,max_ess,Max ESS,5,34,81432152018,27. Mouchak,23.69853,90.49446
dhaka_lcs,Dhaka,5,min_pred_var,Min Pred. Var.,1,6,81432130021,"11. Cantonment, Balurghat",23.834905,90.388527
dhaka_lcs,Dhaka,5,min_pred_var,Min Pred. Var.,2,14,81432130042,15. Mohammadpur,23.7554521,90.3592816
dhaka_lcs,Dhaka,5,min_pred_var,Min Pred. Var.,3,18,81432151010,"42. Nakhalpara, bonoful ",23.767592,90.394612
dhaka_lcs,Dhaka,5,min_pred_var,Min Pred. Var.,4,19,81432151014,64. Satarkul,23.793826,90.448119
dhaka_lcs,Dhaka,5,min_pred_var,Min Pred. Var.,5,21,81432151018,69. Kazlarpar School,23.713381,90.441829
dhaka_lcs,Dhaka,5,min_ess,Min ESS,1,1,81432124034,2. Dhaka University ,23.72820547,90.39852372
dhaka_lcs,Dhaka,5,min_ess,Min ESS,2,23,81432151024,62. Curzon hall,23.727105,90.402772
dhaka_lcs,Dhaka,5,min_ess,Min ESS,3,26,81432151051,40. Anondo Bazar,23.7241575,90.4034797
dhaka_lcs,Dhaka,5,min_ess,Min ESS,4,28,81432151062,74. CARS,23.729204,90.398569
dhaka_lcs,Dhaka,5,min_ess,Min ESS,5,30,81432151072,63. Khilkhet,23.72791258,90.39793792
dhaka_lcs,Dhaka,10,random_fixed,Random,1,3,81432130014,"16. Narayangonj, Gognogor",23.59258046,90.50221399
dhaka_lcs,Dhaka,10,random_fixed,Random,2,5,81432130017,8. Vasantek,23.813502,90.390596
dhaka_lcs,Dhaka,10,random_fixed,Random,3,7,81432130025,21. Jagannath University,23.708545,90.410324
dhaka_lcs,Dhaka,10,random_fixed,Random,4,17,81432150009,36. Sher-E-Bangla Nagar,23.773438,90.371157
dhaka_lcs,Dhaka,10,random_fixed,Random,5,20,81432151017,"39. Khilgaon, Goran",23.748597,90.434691
dhaka_lcs,Dhaka,10,random_fixed,Random,6,22,81432151022,34. Farmgate,23.754638,90.388358
dhaka_lcs,Dhaka,10,random_fixed,Random,7,23,81432151024,62. Curzon hall,23.727105,90.402772
dhaka_lcs,Dhaka,10,random_fixed,Random,8,24,81432151044,"75. Uttara, Rd 12",23.87293,90.389886
dhaka_lcs,Dhaka,10,random_fixed,Random,9,32,81432152006,73. Science Lab,23.74006,90.38504
dhaka_lcs,Dhaka,10,random_fixed,Random,10,34,81432152018,27. Mouchak,23.69853,90.49446
dhaka_lcs,Dhaka,10,max_ess,Max ESS,1,3,81432130014,"16. Narayangonj, Gognogor",23.59258046,90.50221399
dhaka_lcs,Dhaka,10,max_ess,Max ESS,2,7,81432130025,21. Jagannath University,23.708545,90.410324
dhaka_lcs,Dhaka,10,max_ess,Max ESS,3,8,81432130028,7. South Nilkhet,23.72951094,90.38810817
dhaka_lcs,Dhaka,10,max_ess,Max ESS,4,9,81432130029,"13. Uttara, sector 10",23.8803339,90.3881508
dhaka_lcs,Dhaka,10,max_ess,Max ESS,5,10,81432130031,22. Uttar Khan,23.880623,90.442425
dhaka_lcs,Dhaka,10,max_ess,Max ESS,6,11,81432130033,"14. Hemayatpur, NAAFCO",23.7951568,90.2793403
dhaka_lcs,Dhaka,10,max_ess,Max ESS,7,14,81432130042,15. Mohammadpur,23.7554521,90.3592816
dhaka_lcs,Dhaka,10,max_ess,Max ESS,8,15,81432130043,"17. Mirpur, Botanical",23.82199,90.34855
dhaka_lcs,Dhaka,10,max_ess,Max ESS,9,19,81432151014,64. Satarkul,23.793826,90.448119
dhaka_lcs,Dhaka,10,max_ess,Max ESS,10,34,81432152018,27. Mouchak,23.69853,90.49446
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,1,6,81432130021,"11. Cantonment, Balurghat",23.834905,90.388527
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,2,7,81432130025,21. Jagannath University,23.708545,90.410324
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,3,11,81432130033,"14. Hemayatpur, NAAFCO",23.7951568,90.2793403
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,4,12,81432130035,12. Bashundhara RA,23.8173532,90.4253786
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,5,14,81432130042,15. Mohammadpur,23.7554521,90.3592816
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,6,15,81432130043,"17. Mirpur, Botanical",23.82199,90.34855
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,7,18,81432151010,"42. Nakhalpara, bonoful ",23.767592,90.394612
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,8,19,81432151014,64. Satarkul,23.793826,90.448119
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,9,21,81432151018,69. Kazlarpar School,23.713381,90.441829
dhaka_lcs,Dhaka,10,min_pred_var,Min Pred. Var.,10,34,81432152018,27. Mouchak,23.69853,90.49446
dhaka_lcs,Dhaka,10,min_ess,Min ESS,1,0,81432124031,1. Siddeshwari ,23.74354,90.40947
