model_name,target,features,n_rows,n_features,full_r2,full_adjusted_r2,full_rmse,full_mae,cv_r2,cv_adjusted_r2,cv_rmse,cv_mae,sample_size,time_scale
daily_error_city_only_n5,ape_median_pct,"city_Dhaka, city_Lucknow",2383,2,0.26306351440987064,0.2624442400522319,2.6000850891050202,1.8545178827008995,0.26071969314341126,0.26009844918806957,2.604216582760065,1.8570645430987545,5,daily
daily_error_environment_n5,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction",1002,5,0.8628102607426733,0.8621215572323453,1.0909496485322128,0.6692573121637814,0.8551964917108108,0.8544695664683952,1.1208137066786814,0.6777258359191706,5,daily
daily_error_environment_support_n5,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_retained_sensor_count",1002,8,0.89829321041453,0.8974738203675172,0.9393314521450202,0.6335104586051217,0.891749654317017,0.8908775467989265,0.9690775603789135,0.6430088362802873,5,daily
daily_error_environment_city_n5,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, city_Dhaka, city_Lucknow",1002,7,0.89829321041453,0.8975769654174492,0.9393314521450202,0.6335104586051217,0.891749654317017,0.8909873279389678,0.9690775603789137,0.6430088362802869,5,daily
daily_error_city_only_n5,absolute_error_median_ugm3,"city_Dhaka, city_Lucknow",2383,2,0.32602794807262414,0.32546158500377764,2.581322164688908,1.3698817238744458,0.32249775940978787,0.32192842979584646,2.5880736707299525,1.3737688587329993,5,daily
daily_error_environment_n5,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction",1002,5,0.8179289866571371,0.8170149755459781,1.8025980276483002,1.1852055355754105,0.8061785000772929,0.8052055005796889,1.859856607272034,1.1994864048468636,5,daily
daily_error_environment_support_n5,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_retained_sensor_count",1002,8,0.8767636608225655,0.8757708202249628,1.483022982163643,1.0196123631691556,0.8678552949842604,0.866790685074768,1.535689340531168,1.036587244748264,5,daily
daily_error_environment_city_n5,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, city_Dhaka, city_Lucknow",1002,7,0.8767636608225655,0.8758957992790625,1.4830229821636427,1.0196123631691525,0.8678552949842602,0.8669246984700648,1.535689340531169,1.0365872447482647,5,daily
daily_error_city_only_n10,ape_median_pct,"city_Dhaka, city_Lucknow",2167,2,0.14220581120154507,0.14141302544479972,2.062921322391235,1.4174846974503292,0.14076811503247744,0.13997400053620423,2.064649366507096,1.4186440752735214,10,daily
daily_error_environment_n10,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction",1002,5,0.950596951785055,0.9503489445148996,0.4763344698877235,0.2840920141312875,0.9460484915398034,0.9457776506338788,0.49777941523873165,0.2899150093665182,10,daily
