Sensor_ID,Latitude,Longitude,Station_Name,value_pm25_ug_m3,network,panel,start_date,end_date,n_dates_available_for_network
DACZY2913,42.0027981,-87.67195804163,Rogers Park 2,5.91,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAETQ5676,41.92218035,-87.79864272546,Montclare 2,5.87,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAEXF8484,41.70576455,-87.71086021154,Mount Greenwood 1,7.01,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAHAJ0678,41.7522794,-87.73751065,Ashburn 1,6.39,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAHWZ2321,41.96237755,-87.70857185888,Albany Park 2,6.65,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAJHM7956,41.73775017864,-87.53549803584,South Chicago 3,5.45,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DALBP5360,41.70569725,-87.67464569625,Beverly 4,5.42,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DALUY0194,41.9079403,-87.63684281787,Near North Side 2,7.18,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAMWS8859,41.8658074,-87.71918399848,North Lawndale 2,6.62,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAPBK7657,41.8402538,-87.70343516175,South Lawndale 2,5.53,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAPJK7781,41.87791765,-87.6685754,Near West Side 2,5.18,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAREG6245,41.93525075,-87.6725314,Lake View 5,5.88,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DARLP7776,41.8400145,-87.63555596913,Armour Square 2,5.71,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DATLR2184,41.82784155,-87.70286514737,Brighton Park 1,6.93,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAUPG9028,41.9627009,-87.76268011147,Portage Park 2,6.29,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAWAP1896,41.7516673,-87.61940269812,Greater Grand Crossing 5,5.79,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAWUS6556,41.73545185,-87.68498598767,Ashburn 5,5.65,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DAYYE9472,41.7847049,-87.58248692116,Hyde Park 3,5.72,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBCBA3610,41.8669061,-87.75356439011,Austin 5,5.91,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBDBP2246,41.7517264,-87.60303067276,Greater Grand Crossing 4,5.34,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBDSX9338,41.76396055,-87.56920031234,South Shore 2,5.82,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBFUZ7169,41.73860965,-87.5523953503,South Chicago 4,6.13,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBIRF2035,41.79007765,-87.70310395085,Gage Park 4,7.79,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBIZF0451,41.6758357,-87.6372934871,West Pullman 2,5.6,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBJPV1452,41.94881145,-87.70812985315,Irving Park 2,6.65,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBLXJ4454,41.8023942,-87.66940364305,New City 5,5.82,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBMHJ0743,41.8027095,-87.73730573247,Archer Heights 4,5.33,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBTKW5792,41.8912125,-87.76984190347,Austin 8,5.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBYCW6873,41.97643085,-87.79850802324,Norwood Park 4,5.2,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DBZCJ6205,41.73924395,-87.63654310138,Auburn Gresham 3,7.5,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCABM0358,41.8403631,-87.73770467097,South Lawndale 6,6.81,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCAFN1583,41.8275454,-87.73584967759,South Lawndale 5,6.75,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCFVE7122,41.8017657,-87.6359281004,New City 3,7.08,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCHTB8281,41.68959485,-87.65379678317,Morgan Park 2,5.64,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCIJQ7018,42.0028637,-87.7079294603,West Ridge 6,5.91,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCIRD2804,41.86735079697,-87.61884913697,Near South Side 1,5.91,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCQTB2627,41.9760533,-87.76267965049,Jefferson Park 2,5.61,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DCRJT8545,41.75146495,-87.6362956,Greater Grand Crossing 6,7.33,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
