filter_name,filter_family,description,targeted_to_outcome,sensors_retained,sensors_removed,removed_sensor_ids,daily_missing_mean_pct,daily_missing_median_pct,daily_missing_p90_pct,days_missing_ge_25pct,longest_missing_ge_25pct_episode_days,daily_valid_sensor_min,daily_valid_sensor_median,missing_mean_improvement_pct_points,reference_mean_bias_ugm3,reference_mean_mae_ugm3,reference_mean_p95_abs_diff_ugm3,reference_mean_max_abs_diff_ugm3,reference_mean_pearson_r,daily_mean_pm25_spearman_rho,temporal_spearman_rho,spatial_cv_spearman_rho,spatial_sd_spearman_rho,sensor_missing_morans_i,temporal_abs_reduction,spatial_cv_abs_reduction,spatial_sd_abs_reduction,pm_abs_reduction,joint_temporal_spatial_cv_reduction,partial_pm_coef_pct_per_1sd,partial_spatial_cv_coef_pct_per_1sd,partial_time_coef_pct_per_1sd,partial_model_r_squared
baseline_all_sensors,baseline,All retained Lucknow sensors.,False,71,0,,28.34121165348254,27.406103286384987,38.54460093896714,255,66,39,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06175669156921032,0.4226693944762842,0.2982067778103084,0.15388194622198664,0.007735574492275956,0.0,0.0,0.0,0.0,0.0,-2.4763980473693703,0.5192411822609202,4.5020448916178415,0.3393932210114923
daily_ge_50pct_gap_le_60d,daily_presence_plus_gap,Keep sensors with daily presence >= 50% and gap <= 60 days.,False,52,19,81432131001;81432131007;81432131012;81432147001;81432147039;81432147041;81432147044;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144019;81432144024;81432144027;81432144031,20.73103266596417,20.673076923076927,29.37499999999999,88,35,34,46.0,7.610178987518365,-0.8339667793074017,0.926667446272222,3.327622642679585,11.795959294330942,0.9998004078002579,-0.3199752184421872,0.004606133054520765,0.10037730066219096,-0.2588032296527851,0.07504817067821375,0.4180632614217634,0.19782947714811744,-0.10492128343079848,-0.25821852687297686,0.6158927385698809,-3.8096016461040865,0.6175818891095314,1.8129803508363862,0.24824739069777801
daily_ge_60pct_gap_le_60d,daily_presence_plus_gap,Keep sensors with daily presence >= 60% and gap <= 60 days.,False,52,19,81432131001;81432131007;81432131012;81432147001;81432147039;81432147041;81432147044;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144019;81432144024;81432144027;81432144031,20.73103266596417,20.673076923076927,29.37499999999999,88,35,34,46.0,7.610178987518365,-0.8339667793074017,0.926667446272222,3.327622642679585,11.795959294330942,0.9998004078002579,-0.3199752184421872,0.004606133054520765,0.10037730066219096,-0.2588032296527851,0.07504817067821375,0.4180632614217634,0.19782947714811744,-0.10492128343079848,-0.25821852687297686,0.6158927385698809,-3.8096016461040865,0.6175818891095314,1.8129803508363862,0.24824739069777801
daily_ge_50pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 50% and gap <= 90 days.,False,57,14,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,21.745774252984056,22.514619883040954,29.298245614035107,111,37,37,49.0,6.59543740049848,-0.08847823465704648,0.4313020472903891,1.3120482479298063,5.24668590776318,0.9999047045000163,-0.2637757347945378,0.021069854144675697,0.08758057714878492,-0.20311811236613372,0.04900427120188338,0.4015995403316085,0.2106262006615235,-0.04923616614414708,-0.2020190432253275,0.612225740993132,-3.9099152063481744,0.5862613962546981,1.706330652258404,0.2537665353731705
daily_ge_60pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 60% and gap <= 90 days.,False,56,15,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144027;81432144031,21.28118884540117,22.247023809523803,28.27380952380952,104,35,37,48.0,7.060022808081364,-0.07599910718752488,0.45005867651571513,1.2744047517412214,10.729674092804743,0.9998642823703766,-0.311556873138043,-0.0642640365317928,0.050763262139796594,-0.2579464006350883,0.06163768156033018,0.3584053579444914,0.24744351567051182,-0.10406445441310164,-0.24980018156883266,0.6058488736150032,-3.7354110841783763,0.6270863731683263,1.0890059309474205,0.24600605063273617
daily_ge_75pct_gap_le_60d,daily_presence_plus_gap,Keep sensors with daily presence >= 75% and gap <= 60 days.,False,41,30,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144019;81432144021;81432144024;81432144027;81432144031,15.10886512974719,14.634146341463394,22.2560975609756,9,3,31,37.0,13.232346523735346,-1.4471766124096594,1.745497687278007,6.325271911809964,14.851216888123957,0.9993834509657836,-0.3922947989776437,-0.2623770659559636,0.03559078933835317,-0.33883741858456323,0.036878101779981506,0.1602923285203206,0.2626159884719552,-0.1849554723625766,-0.33053810740843337,0.4229083169922758,-2.425704264677789,0.6757863843334384,-0.3986481343579653,0.22045722748957974
daily_ge_75pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 75% and gap <= 90 days.,False,42,29,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,15.190802348336593,15.07936507936508,22.123015873015873,8,2,32,38.0,13.15040930514594,-1.101393191970329,1.471394513450588,5.609312885761004,14.484781473060906,0.9994172777323741,-0.425923006859819,-0.33615290323652386,0.002808978886072482,-0.38065902361135495,0.033902446661225466,0.08651649123976035,0.29539779892423595,-0.2267770773893683,-0.36416631529060867,0.3819142901639963,-2.4571812746579353,0.7388578172878818,-0.8256667521318348,0.2708710152204121
daily_ge_75pct_gap_le_120d,daily_presence_plus_gap,Keep sensors with daily presence >= 75% and gap <= 120 days.,False,42,29,81432131001;81432131007;81432131015;81432131012;81432131011;81432131014;81432131002;81432147001;81432147034;81432147039;81432147041;81432147044;81432147045;81432147054;81432147055;81432147053;81432147056;81432147060;81432147064;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,15.190802348336593,15.07936507936508,22.123015873015873,8,2,32,38.0,13.15040930514594,-1.101393191970329,1.471394513450588,5.609312885761004,14.484781473060906,0.9994172777323741,-0.425923006859819,-0.33615290323652386,0.002808978886072482,-0.38065902361135495,0.033902446661225466,0.08651649123976035,0.29539779892423595,-0.2267770773893683,-0.36416631529060867,0.3819142901639963,-2.4571812746579353,0.7388578172878818,-0.8256667521318348,0.2708710152204121
daily_ge_50pct_gap_le_30d,daily_presence_plus_gap,Keep sensors with daily presence >= 50% and gap <= 30 days.,False,34,37,81432131001;81432130005;81432131007;81432131015;81432131012;81432130004;81432131011;81432131014;81432130008;81432131002;81432147001;81432147034;81432147038;81432147039;81432147041;81432147044;81432147045;81432147055;81432147053;81432147056;81432147060;81432147061;81432147065;81432147069;81432147076;81432144006;81432144007;81432144008;81432144014;81432144016;81432144019;81432144021;81432144023;81432144024;81432144026;81432144027;81432144031,13.789954337899548,13.35784313725491,19.60784313725491,4,1,27,31.0,14.55125731558299,-1.8085318451868528,2.199350544826935,7.302453127001826,13.959779435165444,0.9988834398124576,-0.2549309615151461,-0.2667422564560995,0.08627247604141168,-0.21291931493728364,-0.022317979788698553,0.1559271380201847,0.21193430176889672,-0.059037368715296995,-0.19317426994593578,0.3678614397890814,-0.8634515578565882,0.7614721353754021,-1.0483329755317854,0.11853279668062222
daily_ge_60pct_gap_le_30d,daily_presence_plus_gap,Keep sensors with daily presence >= 60% and gap <= 30 days.,False,34,37,81432131001;81432130005;81432131007;81432131015;81432131012;81432130004;81432131011;81432131014;81432130008;81432131002;81432147001;81432147034;81432147038;81432147039;81432147041;81432147044;81432147045;81432147055;81432147053;81432147056;81432147060;81432147061;81432147065;81432147069;81432147076;81432144006;81432144007;81432144008;81432144014;81432144016;81432144019;81432144021;81432144023;81432144024;81432144026;81432144027;81432144031,13.789954337899548,13.35784313725491,19.60784313725491,4,1,27,31.0,14.55125731558299,-1.8085318451868528,2.199350544826935,7.302453127001826,13.959779435165444,0.9988834398124576,-0.2549309615151461,-0.2667422564560995,0.08627247604141168,-0.21291931493728364,-0.022317979788698553,0.1559271380201847,0.21193430176889672,-0.059037368715296995,-0.19317426994593578,0.3678614397890814,-0.8634515578565882,0.7614721353754021,-1.0483329755317854,0.11853279668062222
