filter_name,filter_family,description,targeted_to_outcome,sensors_retained,sensors_removed,removed_sensor_ids,daily_missing_mean_pct,daily_missing_median_pct,daily_missing_p90_pct,days_missing_ge_25pct,longest_missing_ge_25pct_episode_days,daily_valid_sensor_min,daily_valid_sensor_median,missing_mean_improvement_pct_points,reference_mean_bias_ugm3,reference_mean_mae_ugm3,reference_mean_p95_abs_diff_ugm3,reference_mean_max_abs_diff_ugm3,reference_mean_pearson_r,daily_mean_pm25_spearman_rho,temporal_spearman_rho,spatial_cv_spearman_rho,spatial_sd_spearman_rho,sensor_missing_morans_i,temporal_abs_reduction,spatial_cv_abs_reduction,spatial_sd_abs_reduction,pm_abs_reduction,joint_temporal_spatial_cv_reduction,partial_pm_coef_pct_per_1sd,partial_spatial_cv_coef_pct_per_1sd,partial_time_coef_pct_per_1sd,partial_model_r_squared
remove_worst_daily_missing_k15,remove_worst_daily_missing,Remove top 15 sensors ranked by daily_missing.,False,56,15,81432131001;81432131007;81432147039;81432147055;81432147053;81432147056;81432147060;81432144006;81432144007;81432144008;81432144014;81432144016;81432144024;81432144027;81432144031,20.444390084801046,21.651785714285708,27.17261904761905,82,37,38,48.0,7.896821568681495,-0.1457895184592527,0.5372620057112873,1.863371579908949,7.596983865557206,0.9998492108297607,-0.2934415510860111,-0.007139207450560902,0.04229874607748113,-0.23656455301888504,0.038103906465647486,0.4155301870257233,0.2559080317328273,-0.0826826067968984,-0.2316848595168008,0.6714382187585506,-3.5249339254782397,0.4919181971669407,1.3410679068462839,0.23839838691555781
record_ge_50pct_gap_le_90d,record_presence_plus_gap,Keep sensors with record presence >= 50% and gap <= 90 days.,False,55,16,81432131001;81432131007;81432131012;81432147034;81432147039;81432147055;81432147053;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,19.98401826484018,20.378787878787875,27.13636363636364,75,29,36,47.0,8.357193388642354,-0.3094998337494959,0.5729650938026991,2.014296965229966,6.673581945978867,0.9998805300575548,-0.258954071205371,0.050028540003821516,0.0020240821853701255,-0.20763586362038094,0.01032053483860818,0.3726408544724627,0.29618269562493826,-0.0537539173983943,-0.19719737963616069,0.6688235500974009,-3.854663122551498,0.29919796310668123,2.1160201210657466,0.25235031475175884
daily_ge_50pct_gap_le_60d,daily_presence_plus_gap,Keep sensors with daily presence >= 50% and gap <= 60 days.,False,52,19,81432131001;81432131007;81432131012;81432147001;81432147039;81432147041;81432147044;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144019;81432144024;81432144027;81432144031,20.73103266596417,20.673076923076927,29.37499999999999,88,35,34,46.0,7.610178987518365,-0.8339667793074017,0.926667446272222,3.327622642679585,11.795959294330942,0.9998004078002579,-0.3199752184421872,0.004606133054520765,0.10037730066219096,-0.2588032296527851,0.07504817067821375,0.4180632614217634,0.19782947714811744,-0.10492128343079848,-0.25821852687297686,0.6158927385698809,-3.8096016461040865,0.6175818891095314,1.8129803508363862,0.24824739069777801
daily_ge_60pct_gap_le_60d,daily_presence_plus_gap,Keep sensors with daily presence >= 60% and gap <= 60 days.,False,52,19,81432131001;81432131007;81432131012;81432147001;81432147039;81432147041;81432147044;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144019;81432144024;81432144027;81432144031,20.73103266596417,20.673076923076927,29.37499999999999,88,35,34,46.0,7.610178987518365,-0.8339667793074017,0.926667446272222,3.327622642679585,11.795959294330942,0.9998004078002579,-0.3199752184421872,0.004606133054520765,0.10037730066219096,-0.2588032296527851,0.07504817067821375,0.4180632614217634,0.19782947714811744,-0.10492128343079848,-0.25821852687297686,0.6158927385698809,-3.8096016461040865,0.6175818891095314,1.8129803508363862,0.24824739069777801
daily_ge_50pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 50% and gap <= 90 days.,False,57,14,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,21.745774252984056,22.514619883040954,29.298245614035107,111,37,37,49.0,6.59543740049848,-0.08847823465704648,0.4313020472903891,1.3120482479298063,5.24668590776318,0.9999047045000163,-0.2637757347945378,0.021069854144675697,0.08758057714878492,-0.20311811236613372,0.04900427120188338,0.4015995403316085,0.2106262006615235,-0.04923616614414708,-0.2020190432253275,0.612225740993132,-3.9099152063481744,0.5862613962546981,1.706330652258404,0.2537665353731705
daily_ge_60pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 60% and gap <= 90 days.,False,56,15,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144027;81432144031,21.28118884540117,22.247023809523803,28.27380952380952,104,35,37,48.0,7.060022808081364,-0.07599910718752488,0.45005867651571513,1.2744047517412214,10.729674092804743,0.9998642823703766,-0.311556873138043,-0.0642640365317928,0.050763262139796594,-0.2579464006350883,0.06163768156033018,0.3584053579444914,0.24744351567051182,-0.10406445441310164,-0.24980018156883266,0.6058488736150032,-3.7354110841783763,0.6270863731683263,1.0890059309474205,0.24600605063273617
max_gap_le_60d,max_gap_threshold,Keep sensors with longest daily gap <= 60 days.,False,53,18,81432131001;81432131007;81432131012;81432147001;81432147041;81432147044;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144019;81432144024;81432144027;81432144031,21.668174377530793,21.698113207547188,30.70754716981131,112,37,34,46.0,6.673037275951738,-0.693188935400878,0.7946791688846435,2.5087804166046284,9.713395796582347,0.9998683977045685,-0.32775573870937547,0.0029312401709088018,0.11283485510731749,-0.2569593047381127,0.09865464589123309,0.4197381543053754,0.1853719227029909,-0.10307735851612604,-0.26599904714016515,0.6051100770083664,-4.027122892585611,0.6455172563850472,1.833237464906407,0.2590555776770809
max_gap_le_90d,max_gap_threshold,Keep sensors with longest daily gap <= 90 days.,False,58,13,81432131001;81432131007;81432131012;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,22.584632341363566,23.49137931034482,30.158045977011493,141,38,37,49.0,5.756579312118973,0.03353257164395126,0.3543275727256835,1.1331202755703347,3.607700668240568,0.9999491188053796,-0.26962729089961157,0.024030229441888443,0.10900019088509809,-0.20117239772126097,0.07004163243938419,0.3986391650343958,0.1892065869252103,-0.04729045149927433,-0.20787059933040125,0.5878457519596061,-4.103853622103019,0.5809072912524785,1.736422320280372,0.26236225448173456
remove_longest_gap_k20,remove_longest_gap,Remove top 20 sensors ranked by longest_gap.,False,51,20,81432131001;81432131007;81432131015;81432131012;81432147001;81432147041;81432147044;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144019;81432144021;81432144024;81432144027;81432144031,21.189005282478288,20.996732026143803,30.147058823529417,111,29,34,45.0,7.152206371004249,-0.6444461171544891,0.793485389191494,2.3610600155840817,11.069873856151247,0.9998355590374183,-0.35676742695257385,-0.08296796672844751,0.08040590705157104,-0.2940600169060334,0.13756276957971691,0.3397014277478367,0.21780087075873739,-0.14017807068404675,-0.29501073538336353,0.5575022985065741,-3.49791469208843,0.7176768432869827,0.8815692015287574,0.21123522352825186
daily_presence_ge_70pct,daily_presence_threshold,Keep sensors with daily presence >= 70%.,False,50,21,81432131001;81432131007;81432131015;81432131012;81432147034;81432147039;81432147044;81432147055;81432147053;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144014;81432144016;81432144021;81432144024;81432144027;81432144031,18.074429223744293,18.74999999999999,25.88333333333332,44,20,35,44.0,10.266782429738244,-0.6369928516988539,0.9196081996059409,2.9130567682137496,8.984588057434564,0.9997621116755738,-0.3859320993009824,-0.12454149177730488,-0.041579967444513435,-0.3439228592662058,0.0658913271060306,0.2981279026989793,0.256626810365795,-0.19004091304421916,-0.32417540773177206,0.5547547130647743,-3.2631722214430123,0.37586971694734916,0.8102049641292101,0.22460597860970843
