filter_name,filter_family,description,targeted_to_outcome,sensors_retained,sensors_removed,removed_sensor_ids,daily_missing_mean_pct,daily_missing_median_pct,daily_missing_p90_pct,days_missing_ge_25pct,longest_missing_ge_25pct_episode_days,daily_valid_sensor_min,daily_valid_sensor_median,missing_mean_improvement_pct_points,reference_mean_bias_ugm3,reference_mean_mae_ugm3,reference_mean_p95_abs_diff_ugm3,reference_mean_max_abs_diff_ugm3,reference_mean_pearson_r,daily_mean_pm25_spearman_rho,temporal_spearman_rho,spatial_cv_spearman_rho,spatial_sd_spearman_rho,sensor_missing_morans_i,temporal_abs_reduction,spatial_cv_abs_reduction,spatial_sd_abs_reduction,pm_abs_reduction,joint_temporal_spatial_cv_reduction,partial_pm_coef_pct_per_1sd,partial_spatial_cv_coef_pct_per_1sd,partial_time_coef_pct_per_1sd,partial_model_r_squared
daily_ge_50pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 50% and gap <= 90 days.,False,57,14,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,21.745774252984056,22.514619883040954,29.298245614035107,111,37,37,49.0,6.59543740049848,-0.08847823465704648,0.4313020472903891,1.3120482479298063,5.24668590776318,0.9999047045000163,-0.2637757347945378,0.021069854144675697,0.08758057714878492,-0.20311811236613372,0.04900427120188338,0.4015995403316085,0.2106262006615235,-0.04923616614414708,-0.2020190432253275,0.612225740993132,-3.9099152063481744,0.5862613962546981,1.706330652258404,0.2537665353731705
daily_ge_60pct_gap_le_90d,daily_presence_plus_gap,Keep sensors with daily presence >= 60% and gap <= 90 days.,False,56,15,81432131001;81432131007;81432131012;81432147039;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144027;81432144031,21.28118884540117,22.247023809523803,28.27380952380952,104,35,37,48.0,7.060022808081364,-0.07599910718752488,0.45005867651571513,1.2744047517412214,10.729674092804743,0.9998642823703766,-0.311556873138043,-0.0642640365317928,0.050763262139796594,-0.2579464006350883,0.06163768156033018,0.3584053579444914,0.24744351567051182,-0.10406445441310164,-0.24980018156883266,0.6058488736150032,-3.7354110841783763,0.6270863731683263,1.0890059309474205,0.24600605063273617
max_gap_le_90d,max_gap_threshold,Keep sensors with longest daily gap <= 90 days.,False,58,13,81432131001;81432131007;81432131012;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,22.584632341363566,23.49137931034482,30.158045977011493,141,38,37,49.0,5.756579312118973,0.03353257164395126,0.3543275727256835,1.1331202755703347,3.607700668240568,0.9999491188053796,-0.26962729089961157,0.024030229441888443,0.10900019088509809,-0.20117239772126097,0.07004163243938419,0.3986391650343958,0.1892065869252103,-0.04729045149927433,-0.20787059933040125,0.5878457519596061,-4.103853622103019,0.5809072912524785,1.736422320280372,0.26236225448173456
remove_longest_gap_k15,remove_longest_gap,Remove top 15 sensors ranked by longest_gap.,False,56,15,81432131001;81432131007;81432131012;81432147041;81432147044;81432147055;81432147056;81432147060;81432147069;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,22.23091976516634,22.619047619047617,30.44642857142858,122,42,35,48.0,6.110291888316197,-0.07898893556937465,0.45434554296426233,1.3648313148997095,4.013710042976328,0.9999263408599935,-0.2922809177337599,0.05560746484515677,0.1337274723903701,-0.21526586340820003,0.06875633156604637,0.36706192963112744,0.1644793054199383,-0.06138391718621339,-0.2305242261645496,0.5315412350510658,-4.345713963761325,0.5964604305389016,2.3864380824418077,0.2847445134649925
remove_longest_gap_k10,remove_longest_gap,Remove top 10 sensors ranked by longest_gap.,False,61,10,81432131001;81432131007;81432147055;81432147056;81432147060;81432144006;81432144007;81432144008;81432144016;81432144031,23.73025675574519,24.521857923497258,31.4344262295082,172,42,38,51.0,4.610954897737348,-0.016616899204919135,0.25805704024417414,0.9006447071924258,3.068621737561955,0.9999695386913362,-0.2253460839787492,0.06157831629735879,0.1377432273913211,-0.15322242070892544,-0.001407129566686902,0.36109107817892544,0.1604635504189873,0.0006595255130611988,-0.16358939240953888,0.5215546285979127,-3.9208523342257515,0.7085807748294234,1.9989733295112657,0.24397586759853807
remove_longest_gap_k12,remove_longest_gap,Remove top 12 sensors ranked by longest_gap.,False,59,12,81432131001;81432131007;81432131012;81432147055;81432147056;81432147060;81432144006;81432144007;81432144008;81432144016;81432144024;81432144031,22.763911461961147,23.163841807909602,30.903954802259896,138,42,37,50.0,5.577300191521389,-0.06738830340667802,0.3307088008292672,1.0909241574012611,3.6077006682405965,0.9999526502826946,-0.22529677164750167,0.08420921838871544,0.12878624341191747,-0.15368191301674694,0.06600653154096292,0.3384601760875688,0.16942053439839094,0.00020003320523970247,-0.16354008007829135,0.5078807104859597,-3.9733192795030527,0.6385112307083877,2.2555286285161187,0.2518923629715186
remove_worst_daily_missing_k12,remove_worst_daily_missing,Remove top 12 sensors ranked by daily_missing.,False,59,12,81432131001;81432131007;81432147039;81432147056;81432147060;81432144007;81432144008;81432144014;81432144016;81432144024;81432144027;81432144031,21.895944586332323,22.598870056497155,29.01129943502825,100,42,38,50.0,6.445267067150211,-0.149407939362152,0.4617849396873976,1.737547346362408,9.284542835173482,0.9998854080446855,-0.21231970475679315,0.1103772449971762,0.17580886467708826,-0.14054660330419394,-0.00021671351235163442,0.312292149479108,0.12239791313322015,0.013335342917792703,-0.15056301318758283,0.4346900626123281,-3.282076054497048,0.5823464899182406,2.2646266826426165,0.23970707310027983
remove_worst_daily_missing_k10,remove_worst_daily_missing,Remove top 10 sensors ranked by daily_missing.,False,61,10,81432131007;81432147039;81432147056;81432147060;81432144007;81432144008;81432144016;81432144024;81432144027;81432144031,22.627629313571372,22.677595628415304,30.532786885245898,117,42,38,52.0,5.713582339911164,-0.06153996383154824,0.34369389453697285,1.0790398171406765,9.89440977718516,0.9999073824745569,-0.1418165292987747,0.17734836611615235,0.18987831581535558,-0.07000499233705211,0.014957338386500136,0.24532102836013187,0.10832846199495283,0.08387695388493453,-0.08005983772956438,0.3536494903550847,-3.1023688644202263,0.6166110518533585,2.7561001618728467,0.22932600226476252
record_ge_50pct_gap_le_120d,record_presence_plus_gap,Keep sensors with record presence >= 50% and gap <= 120 days.,False,62,9,81432131007;81432147034;81432147039;81432147053;81432147056;81432147060;81432144008;81432144016;81432144024,22.15587715422006,21.706989247311835,30.766129032258053,108,48,38,52.0,6.185334499262477,-0.22963629134127378,0.49115593866876356,1.8954248765830928,5.614429337768627,0.9999091314933237,-0.06856695694263913,0.28808052289160613,0.165072342856761,0.007663341098076086,-0.007915350289192092,0.13458887158467808,0.1331344349535474,0.14621860512391055,-0.0068102653734288116,0.2677233065382255,-3.024608531030745,0.35503228860476416,3.6508258522307515,0.2647485494631555
daily_ge_60pct_gap_le_120d,daily_presence_plus_gap,Keep sensors with daily presence >= 60% and gap <= 120 days.,False,62,9,81432131007;81432147039;81432147056;81432147060;81432144008;81432144016;81432144024;81432144027;81432144031,22.929186920017674,22.580645161290303,31.653225806451612,125,43,38,52.0,5.412024733464863,-0.04833271829650638,0.3214583412866563,0.9710907380656153,9.89440977718516,0.9999127041423732,-0.058396597754867885,0.2562034586030323,0.21395300744358187,0.016918442125131435,0.012393884181373844,0.16646593587325192,0.08425377036672654,0.1369635040968552,0.0033600938143424353,0.25071970623997847,-2.8754167657343697,0.6148719875426086,3.2355548262027765,0.2373620615913774
