dataset_key,city,sensor_id,start_date,end_date,duration_days
chicago_lcs_corrected_no_collocation,Chicago,DJJWX4142,2025-12-02,2026-05-31,181
chicago_lcs_corrected_no_collocation,Chicago,DMAEX1156,2025-12-11,2026-05-31,172
chicago_lcs_corrected_no_collocation,Chicago,DEYGE9157,2026-02-12,2026-05-31,109
chicago_lcs_corrected_no_collocation,Chicago,DSSQU9498,2025-09-01,2025-12-13,104
chicago_lcs_corrected_no_collocation,Chicago,DDVZB7943,2025-12-17,2026-03-06,80
chicago_lcs_corrected_no_collocation,Chicago,DUVHI0112,2026-01-24,2026-04-10,77
chicago_lcs_corrected_no_collocation,Chicago,DXHCB5919,2025-10-06,2025-12-13,69
chicago_lcs_corrected_no_collocation,Chicago,DUVHI0112,2025-10-10,2025-12-13,65
chicago_lcs_corrected_no_collocation,Chicago,DYDVV6312,2025-09-01,2025-10-29,59
chicago_lcs_corrected_no_collocation,Chicago,DFQDK6326,2025-10-02,2025-11-22,52
chicago_lcs_corrected_no_collocation,Chicago,DFQDK6326,2026-04-24,2026-05-31,38
chicago_lcs_corrected_no_collocation,Chicago,DMLRY2750,2026-04-27,2026-05-31,35
chicago_lcs_corrected_no_collocation,Chicago,DFIBC1899,2025-09-01,2025-10-04,34
chicago_lcs_corrected_no_collocation,Chicago,DJJWX4142,2025-09-01,2025-10-04,34
chicago_lcs_corrected_no_collocation,Chicago,DUVHI0112,2025-09-01,2025-10-04,34
chicago_lcs_corrected_no_collocation,Chicago,DXHCB5919,2025-09-01,2025-10-04,34
chicago_lcs_corrected_no_collocation,Chicago,DYLLV9237,2026-03-26,2026-04-21,27
chicago_lcs_corrected_no_collocation,Chicago,DIWKR9442,2026-03-04,2026-03-24,21
chicago_lcs_corrected_no_collocation,Chicago,DYLLV9237,2026-01-08,2026-01-28,21
chicago_lcs_corrected_no_collocation,Chicago,DYWWS0378,2025-09-14,2025-10-04,21
chicago_lcs_corrected_no_collocation,Chicago,DMYYS7663,2025-09-15,2025-10-04,20
chicago_lcs_corrected_no_collocation,Chicago,DTCRA7818,2025-10-24,2025-11-09,17
chicago_lcs_corrected_no_collocation,Chicago,DEWGT8066,2026-05-15,2026-05-30,16
chicago_lcs_corrected_no_collocation,Chicago,DRQFY3540,2025-12-09,2025-12-22,14
chicago_lcs_corrected_no_collocation,Chicago,DFIBC1899,2025-12-11,2025-12-23,13
chicago_lcs_corrected_no_collocation,Chicago,DEYGE9157,2026-01-29,2026-02-09,12
chicago_lcs_corrected_no_collocation,Chicago,DTCRA7818,2026-01-08,2026-01-18,11
chicago_lcs_corrected_no_collocation,Chicago,DYLLV9237,2026-04-23,2026-05-03,11
chicago_lcs_corrected_no_collocation,Chicago,DYLLV9237,2026-05-15,2026-05-25,11
chicago_lcs_corrected_no_collocation,Chicago,DKHYU9123,2026-02-21,2026-03-02,10
dhaka_lcs,Dhaka,81432151044,2023-02-14,2023-03-31,46
dhaka_lcs,Dhaka,81432151044,2022-04-01,2022-05-08,38
dhaka_lcs,Dhaka,81432151062,2022-04-01,2022-05-08,38
dhaka_lcs,Dhaka,81432152006,2022-04-01,2022-05-08,38
dhaka_lcs,Dhaka,81432151066,2022-08-10,2022-09-13,35
dhaka_lcs,Dhaka,81432151048,2023-02-26,2023-03-31,34
dhaka_lcs,Dhaka,81432151018,2023-03-05,2023-03-31,27
dhaka_lcs,Dhaka,81432130029,2022-10-02,2022-10-25,24
dhaka_lcs,Dhaka,81432130036,2023-03-08,2023-03-31,24
dhaka_lcs,Dhaka,81432130033,2022-06-16,2022-07-08,23
dhaka_lcs,Dhaka,81432130043,2022-08-03,2022-08-23,21
dhaka_lcs,Dhaka,81432130001,2023-01-24,2023-02-12,20
dhaka_lcs,Dhaka,81432150006,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432150009,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151010,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151014,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151017,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151018,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151022,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151024,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151048,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151051,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151055,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151066,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151072,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432151074,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432152014,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432152018,2022-04-01,2022-04-20,20
dhaka_lcs,Dhaka,81432124031,2022-04-13,2022-04-29,17
dhaka_lcs,Dhaka,81432130031,2022-07-02,2022-07-18,17
lucknow_lcs,Lucknow,81432147056,2022-05-10,2023-03-31,326
lucknow_lcs,Lucknow,81432144008,2022-10-10,2023-03-31,173
lucknow_lcs,Lucknow,81432147060,2022-10-21,2023-03-31,162
lucknow_lcs,Lucknow,81432144016,2022-06-26,2022-11-22,150
lucknow_lcs,Lucknow,81432131007,2022-11-13,2023-03-31,139
lucknow_lcs,Lucknow,81432144016,2022-11-24,2023-03-31,128
lucknow_lcs,Lucknow,81432144006,2022-12-14,2023-03-31,108
lucknow_lcs,Lucknow,81432144031,2022-05-21,2022-08-31,103
lucknow_lcs,Lucknow,81432131001,2022-12-22,2023-03-31,100
lucknow_lcs,Lucknow,81432144008,2022-05-19,2022-08-26,100
lucknow_lcs,Lucknow,81432144007,2022-12-23,2023-03-31,99
lucknow_lcs,Lucknow,81432147055,2022-12-18,2023-03-24,97
lucknow_lcs,Lucknow,81432144024,2022-12-28,2023-03-31,94
lucknow_lcs,Lucknow,81432131012,2022-05-26,2022-08-26,93
lucknow_lcs,Lucknow,81432147069,2022-12-29,2023-03-31,93
lucknow_lcs,Lucknow,81432147041,2022-05-18,2022-08-07,82
lucknow_lcs,Lucknow,81432147044,2022-09-13,2022-11-26,75
lucknow_lcs,Lucknow,81432144027,2023-01-24,2023-03-31,67
lucknow_lcs,Lucknow,81432144019,2022-05-14,2022-07-18,66
lucknow_lcs,Lucknow,81432147001,2023-01-28,2023-03-31,63
lucknow_lcs,Lucknow,81432131015,2023-01-31,2023-03-31,60
lucknow_lcs,Lucknow,81432144021,2023-01-31,2023-03-31,60
lucknow_lcs,Lucknow,81432144023,2022-05-15,2022-07-12,59
lucknow_lcs,Lucknow,81432131002,2022-10-01,2022-11-26,57
lucknow_lcs,Lucknow,81432131011,2022-09-28,2022-11-22,56
lucknow_lcs,Lucknow,81432144027,2022-09-06,2022-10-30,55
lucknow_lcs,Lucknow,81432131015,2022-05-25,2022-07-17,54
lucknow_lcs,Lucknow,81432131014,2023-02-12,2023-03-31,48
lucknow_lcs,Lucknow,81432147038,2022-10-16,2022-12-02,48
lucknow_lcs,Lucknow,81432147061,2022-08-01,2022-09-17,48
