city,domain,x_variable,n_low_days,n_high_days,low_group_missing_pct,high_group_missing_pct,high_minus_low_missing_pct_points,permutation_p_value,p_value_flag
Chicago,concentration,daily_mean_pm25,61,61,2.4501390779428265,2.355447712611702,-0.09469136533112454,0.38366163383661633,not statistically distinguishable at 0.05
Chicago,concentration,daily_median_pm25,61,61,2.4501390779428265,2.355447712611702,-0.09469136533112454,0.37606239376062395,not statistically distinguishable at 0.05
Chicago,spatial_variability,daily_spatial_sd,61,61,2.3554477126117015,2.3081020299461397,-0.04734568266556183,0.7046295370462954,not statistically distinguishable at 0.05
Chicago,spatial_variability,daily_spatial_cv,61,61,2.4797301296088023,2.4619754986092173,-0.017754630999585075,0.8989101089891011,not statistically distinguishable at 0.05
Chicago,temporal_structure,calendar_time,61,61,2.574421494939925,4.16050186423625,1.5860803692963246,0.5582441755824418,not statistically distinguishable at 0.05
Dhaka,concentration,daily_mean_pm25,92,92,12.008281573498966,10.080227743271216,-1.92805383022775,0.0150984901509849,p<0.05
Dhaka,concentration,daily_median_pm25,92,92,12.47282608695652,10.22903726708074,-2.24378881987578,0.015598440155984402,p<0.05
Dhaka,spatial_variability,daily_spatial_sd,92,92,15.089285714285715,9.838250517598338,-5.251035196687377,0.00039996000399960006,p<0.001
Dhaka,spatial_variability,daily_spatial_cv,92,92,17.440476190476183,13.822463768115936,-3.6180124223602466,0.08969103089691031,not statistically distinguishable at 0.05
Dhaka,temporal_structure,calendar_time,92,92,20.10998964803312,14.319358178053827,-5.790631469979294,0.010298970102989701,p<0.05
Lucknow,concentration,daily_mean_pm25,92,92,27.24280465401102,27.633190447030007,0.3903857930189858,0.6453354664533547,not statistically distinguishable at 0.05
Lucknow,concentration,daily_median_pm25,92,92,27.330194937742387,27.633190447030007,0.3029955092876193,0.7219278072192781,not statistically distinguishable at 0.05
Lucknow,spatial_variability,daily_spatial_sd,92,92,26.654036538068983,27.978286384976524,1.3242498469075414,0.11738826117388261,not statistically distinguishable at 0.05
Lucknow,spatial_variability,daily_spatial_cv,92,92,26.02380587875077,31.852163706878954,5.828357828128183,9.999000099990002e-05,p<0.001
Lucknow,temporal_structure,calendar_time,92,92,25.056771790161253,34.83619105939987,9.77941926923862,9.999000099990002e-05,p<0.001
