Sensor_ID,Latitude,Longitude,Station_Name
17-031-0001,41.670992,-87.732457,VILLAGE GARAGE
17-031-0022,41.687165,-87.539315,WASHINGTON HS
17-031-0052,41.965485,-87.749928,MAYFAIR PUMP STATION
17-031-0057,41.912739,-87.722673,SPRINGFIELD PUMP STATION
17-031-0076,41.7514,-87.713488,COM ED MAINTENANCE BLDG
17-031-1016,41.80118,-87.832349,VILLAGE HALL
17-031-3103,41.965193,-87.876265,IEPA TRAILER
17-031-3301,41.782766,-87.805377,GRAVES ES
17-031-4007,42.060285,-87.863225,REGIONAL OFFICE BUILDING
17-031-6005,41.864426,-87.748902,LIBERTY SCHOOL
