network,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,m5_seed
chicago_aqs,S0_baseline,1,6.389478547286888,0.6401869158878505,214,2799129568
chicago_aqs,S0_baseline,2,4.152408285360732,0.8738317757009346,214,2799129568
chicago_aqs,S0_baseline,3,2.881708464402757,0.9485981308411215,214,2799129568
chicago_aqs,S0_baseline,5,1.838016310085531,0.9906542056074766,214,2799129568
chicago_aqs,S0_baseline,7,1.2350179133155,1.0,214,2799129568
chicago_aqs,S0_baseline,10,1.9097874418624283e-14,1.0,186,2799129568
chicago_aqs,S1_daily_18h,1,2.3701318171794306,0.6556603773584906,212,3291471899
chicago_aqs,S1_daily_18h,2,4.152408285360732,0.8820754716981132,212,3291471899
chicago_aqs,S1_daily_18h,3,2.8228053094390746,0.9528301886792453,212,3291471899
chicago_aqs,S1_daily_18h,5,1.8537538513489733,0.9952830188679245,212,3291471899
chicago_aqs,S1_daily_18h,7,1.2350179133155,1.0,212,3291471899
chicago_aqs,S1_daily_18h,10,1.9097874418624283e-14,1.0,181,3291471899
chicago_aqs,S2_daily_12h,1,2.3701318171794306,0.6509433962264151,212,1223199482
chicago_aqs,S2_daily_12h,2,4.152408285360732,0.8820754716981132,212,1223199482
chicago_aqs,S2_daily_12h,3,2.881708464402757,0.9575471698113207,212,1223199482
chicago_aqs,S2_daily_12h,5,1.8537538513489829,0.9952830188679245,212,1223199482
chicago_aqs,S2_daily_12h,7,1.2350179133154617,1.0,212,1223199482
chicago_aqs,S2_daily_12h,10,1.9097874418624283e-14,1.0,183,1223199482
chicago_aqs,S3_annual_75pct,1,2.3701318171794306,0.6542056074766355,214,3901781911
chicago_aqs,S3_annual_75pct,2,4.152408285360732,0.8738317757009346,214,3901781911
chicago_aqs,S3_annual_75pct,3,2.916561147229724,0.9485981308411215,214,3901781911
chicago_aqs,S3_annual_75pct,5,1.8537538513489733,0.9906542056074766,214,3901781911
chicago_aqs,S3_annual_75pct,7,1.2350179133155,1.0,214,3901781911
chicago_aqs,S3_annual_75pct,10,1.9097874418624283e-14,1.0,186,3901781911
chicago_aqs,S4_daily_18h_annual_75pct,1,6.389478547286888,0.6462264150943396,212,3158720787
chicago_aqs,S4_daily_18h_annual_75pct,2,4.152408285360732,0.8773584905660378,212,3158720787
chicago_aqs,S4_daily_18h_annual_75pct,3,2.9129719515579975,0.9528301886792453,212,3158720787
chicago_aqs,S4_daily_18h_annual_75pct,5,1.838016310085531,0.9952830188679245,212,3158720787
chicago_aqs,S4_daily_18h_annual_75pct,7,1.2350179133154617,1.0,212,3158720787
chicago_aqs,S4_daily_18h_annual_75pct,10,1.9097874418624283e-14,1.0,181,3158720787
chicago_aqs,S5_drop_gap_gt_30d,1,6.37362876816541,0.602803738317757,214,3217403085
