network,scenario,retained_sensors,period_required_n_mdape_le_5,daily_required_n_95pct_days_mdape_le_10,median_daily_valid_sensors,min_daily_valid_sensors,p05_daily_valid_sensors,m5_seed
chicago_aqs,S0_baseline,10,2,5,10.0,0,0.0,2799129568
chicago_aqs,S1_daily_18h,10,1,3,10.0,0,0.0,3291471899
chicago_aqs,S2_daily_12h,10,1,3,10.0,0,0.0,1223199482
chicago_aqs,S3_annual_75pct,10,1,5,10.0,0,0.0,3901781911
chicago_aqs,S4_daily_18h_annual_75pct,10,2,3,10.0,0,0.0,3158720787
chicago_aqs,S5_drop_gap_gt_30d,9,2,5,9.0,0,0.0,3217403085
chicago_lcs_corrected,S0_baseline,286,2,2,281.0,267,269.0,3319462546
chicago_lcs_corrected,S1_daily_18h,286,2,2,278.0,0,268.0,3860260243
chicago_lcs_corrected,S2_daily_12h,286,2,2,279.0,0,268.1,2870091628
chicago_lcs_corrected,S3_annual_75pct,272,2,2,271.0,264,266.0,4062788251
chicago_lcs_corrected,S4_daily_18h_annual_75pct,272,2,2,269.0,0,262.1,1231750058
chicago_lcs_corrected,S5_drop_gap_gt_30d,267,2,2,266.0,264,264.0,2541556961
chicago_lcs_raw,S0_baseline,286,3,10,281.0,267,269.0,3968769211
chicago_lcs_raw,S1_daily_18h,286,3,10,278.0,0,268.0,63240004
chicago_lcs_raw,S2_daily_12h,286,3,10,279.0,0,268.1,842467058
chicago_lcs_raw,S3_annual_75pct,272,3,10,271.0,264,266.0,1231693774
chicago_lcs_raw,S4_daily_18h_annual_75pct,272,3,10,269.0,0,262.1,3505125387
chicago_lcs_raw,S5_drop_gap_gt_30d,267,3,10,266.0,264,264.0,817020983
dhaka_lcs,S0_baseline,35,7,10,33.0,15,16.0,1395032829
dhaka_lcs,S1_daily_18h,35,7,10,30.0,7,14.0,2474605494
dhaka_lcs,S2_daily_12h,35,7,10,32.0,14,16.0,1063561337
dhaka_lcs,S3_annual_75pct,31,7,10,30.0,12,13.0,967242606
dhaka_lcs,S4_daily_18h_annual_75pct,31,7,10,28.0,7,13.0,1257636804
dhaka_lcs,S5_drop_gap_gt_30d,30,10,10,29.0,15,16.0,3969256002
lucknow_lcs,S0_baseline,71,15,7,56.0,39,44.0,4195012168
lucknow_lcs,S1_daily_18h,71,15,5,50.0,33,39.2,976964077
lucknow_lcs,S2_daily_12h,71,15,5,53.0,38,41.0,3047549679
lucknow_lcs,S3_annual_75pct,34,5,5,31.0,28,29.0,4036556222
lucknow_lcs,S4_daily_18h_annual_75pct,34,5,5,30.0,22,27.0,36381106
lucknow_lcs,S5_drop_gap_gt_30d,34,5,7,31.0,27,28.0,3357997577
