Sensor_ID,Station_Name,Latitude,Longitude
17-031-0001,VILLAGE GARAGE,41.670992,-87.732457
17-031-0022,WASHINGTON HS,41.687165,-87.539315
17-031-0052,MAYFAIR PUMP STATION,41.965485,-87.749928
17-031-0057,SPRINGFIELD PUMP STATION,41.912739,-87.722673
17-031-0076,COM ED MAINTENANCE BLDG,41.7514,-87.713488
17-031-1016,VILLAGE HALL,41.80118,-87.832349
17-031-3103,IEPA TRAILER,41.965193,-87.876265
17-031-3301,GRAVES ES,41.782766,-87.805377
17-031-4007,REGIONAL OFFICE BUILDING,42.060285,-87.863225
17-031-6005,LIBERTY SCHOOL,41.864426,-87.748902
