Sensor_ID,Station_Name,Latitude,Longitude
DACZY2913,Rogers Park 2,42.0027981,-87.67195804163
DAETQ5676,Montclare 2,41.92218035,-87.79864272546
DAEXF8484,Mount Greenwood 1,41.70576455,-87.71086021154
DAHAJ0678,Ashburn 1,41.7522794,-87.73751065
DAHWZ2321,Albany Park 2,41.96237755,-87.70857185888
DAJHM7956,South Chicago 3,41.73775017864,-87.53549803584
DALBP5360,Beverly 4,41.70569725,-87.67464569625
DALUY0194,Near North Side 2,41.9079403,-87.63684281787
DAMWS8859,North Lawndale 2,41.8658074,-87.71918399848
DAPBK7657,South Lawndale 2,41.8402538,-87.70343516175
DAPJK7781,Near West Side 2,41.87791765,-87.6685754
DAREG6245,Lake View 5,41.93525075,-87.6725314
DARLP7776,Armour Square 2,41.8400145,-87.63555596913
DATLR2184,Brighton Park 1,41.82784155,-87.70286514737
DAUPG9028,Portage Park 2,41.9627009,-87.76268011147
DAWAP1896,Greater Grand Crossing 5,41.7516673,-87.61940269812
DAWUS6556,Ashburn 5,41.73545185,-87.68498598767
DAYYE9472,Hyde Park 3,41.7847049,-87.58248692116
DBCBA3610,Austin 5,41.8669061,-87.75356439011
DBDBP2246,Greater Grand Crossing 4,41.7517264,-87.60303067276
DBDSX9338,South Shore 2,41.76396055,-87.56920031234
DBFUZ7169,South Chicago 4,41.73860965,-87.5523953503
DBIRF2035,Gage Park 4,41.79007765,-87.70310395085
DBIZF0451,West Pullman 2,41.6758357,-87.6372934871
DBJPV1452,Irving Park 2,41.94881145,-87.70812985315
DBLXJ4454,New City 5,41.8023942,-87.66940364305
DBMHJ0743,Archer Heights 4,41.8027095,-87.73730573247
DBTKW5792,Austin 8,41.8912125,-87.76984190347
DBYCW6873,Norwood Park 4,41.97643085,-87.79850802324
DBZCJ6205,Auburn Gresham 3,41.73924395,-87.63654310138
DCABM0358,South Lawndale 6,41.8403631,-87.73770467097
DCAFN1583,South Lawndale 5,41.8275454,-87.73584967759
DCFVE7122,New City 3,41.8017657,-87.6359281004
DCHTB8281,Morgan Park 2,41.68959485,-87.65379678317
DCIJQ7018,West Ridge 6,42.0028637,-87.7079294603
DCIRD2804,Near South Side 1,41.86735079697,-87.61884913697
DCQTB2627,Jefferson Park 2,41.9760533,-87.76267965049
DCRJT8545,Greater Grand Crossing 6,41.75146495,-87.6362956
DCYXM8877,Dunning 1,41.94945715,-87.8351178454
DCZQF3538,Lower West Side 2,41.85298145,-87.66905187486
DDCVA2276,Forest Glen 2,42.00303345,-87.76224995
DDGFW8206,Englewood 3,41.77689575,-87.63594989239
DDGHI0125,Belmont Cragin 3,41.92893015,-87.75257875182
DDHVZ6546,Near West Side 5,41.86559955,-87.6517851304
DDLSL3066,West Town 2,41.90818775,-87.67277999888
DDQNT6485,Armour Square 1,41.85262982538,-87.6353109832
DDVZB7943,Hyde Park 2,41.79954752686,-87.58353859231
DDZMI3291,Lower West Side 5,41.84077025,-87.68631765239
DEIDA3268,Near North Side 1,41.90808685,-87.65476058225
DEJMD2536,O'Hare 1,41.9762844,-87.8527641
DEPLW3142,Greater Grand Crossing 3,41.7640476,-87.6024382544
DERZJ4600,Rogers Park 1,42.0162268,-87.67155255924
DEVFQ3796,Austin 3,41.8911473,-87.7527475601
DEWGT8066,Portage Park 3,41.94911115,-87.74480067538
DEYGE9157,South Deering 10,41.7014031,-87.5703907
DFAKZ8204,New City 4,41.802323,-87.652894475
DFAQM2360,Englewood 1,41.78968585,-87.65259587249
DFCTF9310,Washington Heights 4,41.70153607185,-87.65364411745
DFDFU1164,Lower West Side 1,41.8526565,-87.68640576809
DFDVG9143,Pullman 3,41.70084025,-87.60406122014
DFEAJ0038,Hegewisch 2,41.6642805,-87.5373633
DFESS1920,Chicago Lawn 4,41.76416395,-87.7034622167
DFFDA0268,Near West Side 3,41.8811335,-87.654831
DFIBC1899,South Deering 7,41.66442141106,-87.58654247521
DFIRX1818,Pullman 4,41.68842595,-87.60256092387
DFKYH6865,Morgan Park 1,41.69223635,-87.67489329296
DFKYP0941,Lincoln Park 2,41.92145185,-87.63691042804
DFMDU1576,Greater Grand Crossing 1,41.7770346,-87.61823783346
DFNBI6922,Mount Greenwood 2,41.69236885,-87.71085274558
DFQDK6326,Beverly 1,41.7328393,-87.67465490629
DFRKF1779,Norwood Park 2,41.99058225,-87.79848941722
DFRSA4000,Near North Side 3,41.89544165,-87.61824483303
DFVRF7063,Austin 2,41.90386395,-87.75296686302
DGAID0757,Belmont Cragin 4,41.91617695,-87.75264006953
DGDNA0617,Edison Park 2,42.00333585,-87.81657557251
DGGGM0466,Bridgeport 1,41.8401321,-87.65224955236
DGHRH9009,Gage Park 1,41.8029067,-87.70321051435
DGKDK3415,Irving Park 4,41.9415229,-87.73560494298
DGRCH4426,West Ridge 3,42.00290225,-87.6903495
DGRSB4646,Belmont Cragin 1,41.93583815,-87.78078553032
DGTDZ6242,Forest Glen 3,41.98958085,-87.74435264432
DGTGR9009,South Deering 3,41.70277366369,-87.55285081796
DGZGL5338,Clearing 2,41.77766795,-87.77076185555
DGZUS1041,East Side 1,41.726048,-87.53635402287
DHBBM8531,Garfield Ridge 1,41.7997122,-87.7531658
DHCXV0760,West Garfield Park 1,41.87835895,-87.73628820535
DHIBT9527,Near West Side 7,41.8658361,-87.6853688659
DHJUH1119,Dunning 4,41.9491384,-87.78084362295
DHNQG0980,Irving Park 1,41.96257933332,-87.74452053946
DHQVH8975,Near West Side 6,41.8658287,-87.66865308211
DHSIJ5379,Washington Heights 1,41.72668335,-87.6533731
DHUBD2135,Norwood Park 3,41.98985225,-87.78029629433
DHWLS6819,West Pullman 5,41.6635518,-87.63755419775
DHZTI7858,Pullman 1,41.71416735,-87.60386913021
DIBVR6629,Beverly 2,41.71908015,-87.67444563166
DICQL6656,Albany Park 3,41.96248775,-87.72638198462
DIEET8865,Hyde Park 4,41.78645279022,-87.60174594829
DIFIV9884,Dunning 3,41.94997245,-87.799195205
DIFPQ7419,Avondale 2,41.93555175,-87.69109155093
DIHMX0551,Humboldt Park 3,41.891075,-87.70279956945
DIIPF3878,Edgewater 2,41.9859255,-87.65593
DIQKT3554,Lincoln Park 1,41.92154965,-87.65448778151
DIRJX6254,Greater Grand Crossing 2,41.76421335,-87.61966303202
DITUM6528,Near West Side 1,41.87833905,-87.6855286518
DITUY8368,West Ridge 5,41.98910785,-87.70794851144
DIUDG6358,North Lawndale 5,41.8528468,-87.7363577
DIUZJ7853,Garfield Ridge 2,41.7903843,-87.77048382046
DIVZD0266,Archer Heights 1,41.81559185,-87.736277095
DIWKR9442,West Lawn 4,41.7626353,-87.73788222688
DIWYY0447,West Ridge 4,41.9896707,-87.69002591531
DIXEX6164,Calumet Heights 1,41.72612465,-87.5862367414
DIXUN6634,Ashburn 3,41.7521062,-87.70393644313
DIZEF3591,West Pullman 3,41.67596525,-87.62018065
DJCYU2364,Douglas 2,41.82725075,-87.61890358618
DJGDZ3688,Roseland 3,41.70133845,-87.61992013972
DJHFB1439,South Deering 6,41.66730025,-87.56938199593
DJIHM1001,West Town 1,41.9083288,-87.6905694159
DJJVG1917,Edgewater 1,41.9893028,-87.67229309826
DJJWX4142,South Lawndale 4,41.83003975,-87.72139660669
DJKZD4256,Morgan Park 3,41.67869235,-87.67466474951
DJSLY4013,South Lawndale 1,41.85292095,-87.70311062197
DJWGZ0445,Grand Boulevard 1,41.81458865,-87.61885441048
DKDJK5693,Roseland 1,41.726565,-87.61949170539
DKHYU9123,Clearing 3,41.7775443,-87.75395070108
DKIJX6114,Lincoln Square 1,41.9756734,-87.69009047047
DKISS7174,West Elsdon 2,41.7898683,-87.72002286796
DKNMF4367,Oakland 1,41.82675732205,-87.60127391431
DKRXT7147,Roseland 4,41.68874295,-87.62059497345
DKTWP2892,East Side 3,41.7006795,-87.53620860009
DKUAZ4434,West Ridge 1,42.01665715,-87.7077947
DKWDP4373,Lake View 4,41.93506775,-87.65427066335
DKXFR1580,Logan Square 4,41.91611105,-87.71889889178
DLDVK7370,South Chicago 2,41.75137435,-87.55253841883
DLFZU4679,West Englewood 2,41.7772125,-87.66997231765
DLIKU5639,O'Hare 3,41.95008034764,-87.85424652587
DLJWW1620,Englewood 2,41.78957595,-87.6348940749
DLNMW9381,Washington Heights 5,41.7138256,-87.65385383114
DLTCH1397,Woodlawn 2,41.77677010296,-87.58579570606
DLUKV4510,Calumet Heights 3,41.72602304045,-87.55256172786
DLVFF5341,Grand Boulevard 2,41.80223545,-87.61894770389
DLZBV6061,Auburn Gresham 4,41.7392967,-87.65309402456
DMAEX1156,South Deering 9,41.7003247,-87.58631302026
DMAFX5938,Avalon Park 2,41.73883825,-87.5685253
DMARJ5120,Hyde Park 1,41.79964665,-87.60179992085
DMFEL5431,Garfield Ridge 4,41.7873492,-87.80034666308
DMHRT7456,Chicago Lawn 3,41.76441945,-87.68673944938
DMIYV7889,O'Hare 2,41.96313028153,-87.85304850279
DMKJB8675,Avalon Park 3,41.73896995,-87.58611561643
DMLBL6950,West Lawn 2,41.77747453159,-87.72038498734
DMLFU0523,Pullman 2,41.7130402,-87.5843047413
DMLRY2750,North Park 1,41.98888865,-87.72522068118
DMMAG3845,Riverdale 3,41.6505642,-87.6038782
DMMRS6981,Forest Glen 1,42.00388875,-87.7800832952
DMSGP0807,Norwood Park 6,41.97668455,-87.83490487434
DMTRR1120,Burnside 1,41.7264486,-87.60347733402
DMVDY6300,McKinley Park 1,41.82770135,-87.6859207505
DMYFE2499,North Lawndale 3,41.86563285,-87.70345920195
DMYYS7663,Englewood 6,41.7770621,-87.65292944762
DNBEB5545,Hermosa 1,41.9286974,-87.73569501673
DNBKU3560,West Englewood 1,41.78978595,-87.66959778168
DNCCJ5144,Portage Park 1,41.962849,-87.78047373604
DNEXF4696,North Lawndale 4,41.85340285,-87.7191346
DNFCT5518,Roseland 6,41.70134325,-87.63695104339
DNUKL3524,West Town 3,41.89463405,-87.65461125156
DNVBM2851,Englewood 5,41.764561,-87.65314835
DPBXQ5234,North Park 2,41.9761239,-87.7082665047
DPCUT7707,Loop 2,41.88090137336,-87.61873552601
DPDDG5192,Montclare 1,41.9358392,-87.79903217638
DPMHQ8304,Uptown 1,41.9758539,-87.67189334395
DPMWW4120,Garfield Ridge 3,41.7872597,-87.78189702338
DPNPJ6846,New City 2,41.81485945,-87.6515630055
DPPCP3370,West Pullman 4,41.66388775,-87.62119153511
DPQLM7176,Lake View 1,41.9486371,-87.67224304234
DPQMK5751,Avondale 1,41.9413011,-87.71842453477
DPWHE0976,Fuller Park 1,41.81472425,-87.63492704557
DQABT4506,Riverdale 2,41.66370695,-87.60544860892
DQAJZ3770,Logan Square 2,41.92201145,-87.67250156058
DQGPJ5322,Beverly 5,41.70266025,-87.69255586271
DQIUL8061,South Shore 1,41.7641265,-87.5857492
DQJDZ1252,West Pullman 1,41.67590428555,-87.65402778762
DQJVA6225,Jefferson Park 1,41.9889689,-87.76288502645
DQRVM2041,West Englewood 3,41.76433305,-87.67013475649
DQTUI1287,Hegewisch 4,41.6496509,-87.55276648075
DQUUS8611,West Town 4,41.8948325,-87.67276417878
DQVFE3070,Englewood 4,41.7643842,-87.63615245585
DQVGW1846,South Lawndale 3,41.8403843,-87.71981834947
DQWCU6663,Austin 6,41.865808,-87.77006790729
DQXJA8041,Archer Heights 3,41.80260805,-87.72071352115
DQZEA3135,South Deering 8,41.68798065,-87.58826181539
DQZIL1804,Brighton Park 2,41.8150889,-87.68617463895
DRCQU4244,Roseland 5,41.68869904102,-87.63708150084
DRCSL7614,Jefferson Park 3,41.97629145,-87.7806628029
DRDMU5348,Washington Heights 3,41.71400135,-87.63668979965
DRDZF3698,Austin 1,41.9157582,-87.76919201601
DRHPF2920,South Deering 4,41.68783235,-87.55325261923
DRILK5150,East Garfield Park 1,41.87824475,-87.71895694228
DRJGY6541,West Elsdon 1,41.7903099,-87.73683774404
DRJPX9457,South Deering 5,41.6767009,-87.55354965902
