Sensor_ID,Station_Name,Latitude,Longitude
81432130003,Aliganj,26.90173,80.95188
81432130004,"B R Ambedkar University, Lucknow - UPPCB",26.76643,80.9273
81432130005,Rajendra Nagar-II,26.90434,80.76538
81432130008,Lucknow Cantonment,26.8209,80.94863
81432131001,Transport Nagar,26.77917,80.88506
81432131002,Dubagga,26.85468,80.85959
81432131004,Mahanagar,26.88219,80.95055
81432131005,Husainabad,26.8702,80.90413
81432131006,Nishat Ganj,26.86539,80.9547
81432131007,Charbagh,26.83767,80.9345
81432131009,Vipul Khand,26.84636,80.98246
81432131011,Aminabad,26.84833,80.92333
81432131012,Vrindavan Yojana,26.78063,80.95589
81432131013,Kakori,26.9043353,80.7653765
81432131014,"Gomti Nagar, Lucknow - UPPCB",26.86469,81.00491
81432131015,IITR-Hazratganj,26.8594,80.93071
81432131016,Jankipuram,26.9152,80.94217
81432144006,Jankipuram Vistar,26.94334,80.94009
81432144007,Dashauli,26.95845,80.99923
81432144008,Chak Ganjaria,26.79835,81.02416
81432144009,Awadh_vihar_yojna,26.76477,80.97511
81432144014,Nigoha,26.55383,81.04667
81432144015,Mohanlalganj,26.65071,80.99416
81432144016,Lohiya college,26.85114,81.03126
81432144017,Aziz Nagar,26.92933,80.92733
81432144019,Mubarakpur,26.93487,80.89838
81432144020,HariharNagar,26.88341,81.01356
81432144021,LPS Jankipuram,26.92222,80.95233
81432144022,Virat Khand,26.85672,81.01856
81432144023,Mohammadpur,27.02779,80.93745
81432144024,Umarbhari,26.95505,80.90484
81432144025,Baksi Ka Talab,27.00108,80.88373
81432144026,Itaunja,27.06729,80.89501
81432144027,CIMAP,26.89483,80.98249
81432144030,Gomti Nagar Ex,26.84041,81.00944
81432144031,Kalyanpur,26.9066,80.96939
81432147001,Arjunganj,26.80726,80.99811
81432147004,Anand Nagar,26.82169,80.92019
81432147008,CMS_Kanpur Road,26.78976,80.8943
81432147023,Piparsand,26.74666,80.81857
81432147033,Kukrail_LCS_uppcb,26.90727,80.9852
81432147034,Talkatora_BPS,26.83298,80.90047
81432147036,Telibagh,26.79017,80.95862
81432147037,HariKansh_garhi,26.72429,80.97102
81432147038,Mall,27.01277,80.73623
81432147039,Nagram,26.61845,81.14324
81432147040,"Amethi, jagdishpur",26.75155,81.15767
81432147041,UniWrld IndNagar,26.88362,80.9927
81432147043,Amrapali Yojna,26.88655,80.86085
81432147044,Rahta,27.03761,80.65654
81432147045,Qaiserbagh,26.84706,80.93305
81432147046,CMS_IndNgr,26.87444,80.97576
81432147047,Aliganj -II,26.88364,80.93675
81432147049,Bijnor,26.73427,80.89255
81432147050,RDSO,26.81192,80.88597
81432147051,Prabandh Nagar,26.91017,80.90802
81432147053,Ambalika,26.64055,80.9382
81432147054,Malhaur,26.8517,81.05057
81432147055,Daliganj,26.86998,80.92704
81432147056,Rajajipuram-II,26.84018,80.88633
81432147057,Fazullaganj,26.89364,80.92507
81432147060,Shanti Nagar,26.75587,80.87343
81432147061,Para,26.81434,80.86674
81432147062,Tiwariganj,26.89134,81.07359
81432147064,Rajajipuram-I,26.84618,80.87375
81432147065,Balaganj,26.87166,80.88209
81432147068,Badal Khera,26.83256,80.86087
81432147069,Hazratganj_NBRI,26.85727,80.95248
81432147070,Asharfabad,26.85687,80.89933
81432147072,Haroiya,26.65826,81.15739
81432147076,Jopling,26.85892,80.96262
