city,dataset_key,resolution,scenario,scenario_description,daily_min_hours,sensor_filter,sensors_baseline,sensors_retained,sensors_removed,time_windows_total,time_windows_with_3plus_sensors,valid_sensor_count_min,valid_sensor_count_p05,valid_sensor_count_median,valid_sensor_count_max,reference_windows_compared,reference_bias_filtered_minus_baseline_ugm3,reference_mae_filtered_vs_baseline_ugm3,reference_max_abs_diff_ugm3,reference_pearson_r
Dhaka,dhaka_lcs,highest_hourly,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,,all,35,35,0,8760,8760,3,15.0,31.0,35,8760,0.0,0.0,0.0,0.9999999999999999
Dhaka,dhaka_lcs,daily,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,1.0,all,35,35,0,365,365,15,16.0,33.0,35,365,0.0,0.0,0.0,0.9999999999999999
Dhaka,dhaka_lcs,daily,daily_ge_12h,All sensors; daily value kept only when a sensor has at least 12 valid hourly records that day.,12.0,all,35,35,0,365,365,14,16.0,32.0,35,365,-0.29037850423709716,0.41615064560743364,14.994520260549876,0.9995545590478018
Dhaka,dhaka_lcs,daily,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,18.0,all,35,35,0,365,365,7,14.0,30.0,34,365,-0.282578546752591,1.0968210830320042,92.83779512420136,0.9935212498414812
Dhaka,dhaka_lcs,highest_hourly,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,,record_uptime_ge_75pct,35,31,4,8760,8760,3,13.0,28.0,31,8760,-0.3518204442447369,0.9972804196257219,66.54193376068372,0.9992911752015073
Dhaka,dhaka_lcs,daily,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,1.0,record_uptime_ge_75pct,35,31,4,365,365,12,13.0,30.0,31,365,-0.4338742109045364,1.0101433234966897,13.335532111395281,0.9994115292125584
Dhaka,dhaka_lcs,daily,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,18.0,record_uptime_ge_75pct,35,31,4,365,365,7,13.0,28.0,31,365,-0.7851605936834638,1.33948350237592,91.50156085726056,0.9936569718425697
Dhaka,dhaka_lcs,highest_hourly,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,,hourly_gap_le_30d,35,30,5,8760,8758,2,15.0,27.0,30,8760,0.29076996519524845,1.0861665456274368,111.27493238674776,0.9989429960314709
Dhaka,dhaka_lcs,daily,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,1.0,hourly_gap_le_30d,35,30,5,365,365,15,16.0,29.0,30,365,0.31877768196402173,0.7249349006523,9.507402821784964,0.9996874560365875
Dhaka,dhaka_lcs,highest_hourly,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,,daily_presence_ge_50pct_gap_le_90d,35,35,0,8760,8760,3,15.0,31.0,35,8760,0.0,0.0,0.0,0.9999999999999999
Dhaka,dhaka_lcs,daily,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,1.0,daily_presence_ge_50pct_gap_le_90d,35,35,0,365,365,15,16.0,33.0,35,365,0.0,0.0,0.0,0.9999999999999999
Dhaka,dhaka_lcs,highest_hourly,daily_ge_50pct_gap_le_25pct_period,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 25% of the study period.,,daily_presence_ge_50pct_gap_le_25pct_period,35,35,0,8760,8760,3,15.0,31.0,35,8760,0.0,0.0,0.0,0.9999999999999999
