dataset_key,city,resolution,sensor_count,time_windows,pair_count,pairs_with_valid_correlation,median_pairwise_distance_km,median_pearson_correlation,p10_pearson_correlation,p90_pearson_correlation,spearman_distance_vs_correlation,correlation_slope_per_10km,median_mean_abs_difference_ugm3,median_semivariance_ugm3_sq,spearman_distance_vs_semivariance,semivariance_slope_ugm3_sq_per_10km,spearman_distance_vs_mean_abs_difference,mean_abs_difference_slope_ugm3_per_10km
dhaka_lcs,Dhaka,highest_hourly,35,8760,595,595,7.925939716306952,0.7791378302487008,0.6108055513795956,0.9053036715389049,-0.18807190966685636,-0.022086057861821422,20.486853361513692,890.2546768214428,0.23820569920056694,380.259069188741,0.278408471381231,4.4563299582429385
dhaka_lcs,Dhaka,daily,35,365,595,595,7.925939716306952,0.920103672201077,0.7689593768456524,0.9622745560955716,-0.17001012322765185,0.0027956925218133068,15.211299943445269,296.6483327164027,0.19505927243787488,202.03228016687711,0.20005936073839745,3.4874170342948774
dhaka_lcs,Dhaka,weekly,35,53,595,595,7.925939716306952,0.9524853935487851,0.8767132825755375,0.9825727214187632,-0.009367090338270757,0.01791196536732539,13.87192277247422,201.50852668384746,0.12973921722441265,157.4867831465935,0.13836207657763125,2.813006259624416
dhaka_lcs,Dhaka,monthly,35,12,595,595,7.925939716306952,0.9712321503962678,0.8655000273670044,0.9925371137586786,0.0553004524974521,0.02439869290980909,13.135507436029785,173.60393880015184,0.10051442175405854,135.7135452887,0.10379715034274845,2.4006846921429
dhaka_lcs,Dhaka,total_period,35,1,595,0,7.925939716306952,,,,,,10.137416351836357,51.38360514523958,0.09927559390646638,41.980905884073124,0.09927559390646638,2.233739209707499
lucknow_lcs,Lucknow,highest_hourly,71,8760,2485,2484,13.066865388876412,0.8981224196406354,0.7640689689708843,0.9472304725422854,-0.28941011085844576,-0.021677288309165522,15.436873853372205,455.3285046488238,0.2041747411397591,412.398722908752,0.2285797864186017,2.2834913704623223
lucknow_lcs,Lucknow,daily,71,365,2485,2484,13.066865388876412,0.962463272413481,0.8888980368751445,0.9813181827116482,-0.24988147809345426,-0.013259436007503168,12.083062628381338,186.14269524522047,0.188726606116628,431.4131140071346,0.1844781366292862,1.9363139186401086
lucknow_lcs,Lucknow,weekly,71,53,2485,2474,13.066865388876412,0.967926345897268,0.8836115443904334,0.9889870717683947,-0.11026229502383117,-0.007123173368369898,12.253782675539153,167.248308813179,0.14027016876043658,508.25511670800563,0.14061396948897228,1.669627286185912
lucknow_lcs,Lucknow,monthly,71,12,2485,2414,13.066865388876412,0.9769141321942588,0.8695880536777928,0.9943435443628544,-0.07324654116543737,0.0028894901326949308,12.956708820273391,164.85839405526966,0.11542404551091533,80.73711280161653,0.1164790297159735,1.0560296070594075
lucknow_lcs,Lucknow,total_period,71,1,2485,0,13.066865388876412,,,,,,15.392130455014623,118.45883997209434,0.05470102475397036,11.167838260708853,0.05470102475397036,0.8107203919047145
chicago_lcs_corrected_no_collocation,Chicago,highest_hourly,277,6557,38226,38224,13.946159277358383,0.8913964225390719,0.7958356233878214,0.9400101979630414,-0.5571453980372911,-0.03242764850674581,1.851117432490137,5.002622244445441,0.4382075062584202,1.3481981161742924,0.471121178338741,0.23994370867257453
chicago_lcs_corrected_no_collocation,Chicago,daily,277,274,38226,38222,13.946159277358383,0.9686531277322236,0.9160950471331764,0.9847004529114635,-0.4435949110330563,-0.011600458476064848,1.1875450459167147,1.3856323968986337,0.2520120328049556,0.37790534859182656,0.23139513127145137,0.11913393255092332
chicago_lcs_corrected_no_collocation,Chicago,weekly,277,40,38226,38221,13.946159277358383,0.9732708214242174,0.8750868034812412,0.9894036028961589,-0.2433612574710646,-0.0080053471024549,0.9501490106290129,0.7425525607023593,0.10690323545187286,0.1543365123486896,0.09560147680344215,0.06534461310619236
chicago_lcs_corrected_no_collocation,Chicago,monthly,277,10,38226,38220,13.946159277358383,0.9208593095892129,0.653569340415269,0.9891636969496052,-0.14489277414251622,-0.018626576734985228,1.0961588153693573,1.090041033381771,0.10785179561997695,0.16545187505843637,0.0854135604323984,0.07040959769767127
chicago_lcs_corrected_no_collocation,Chicago,total_period,277,1,38226,0,13.946159277358383,,,,,,0.7935735299880751,0.3148794738052655,0.02134032993251987,0.06739224002843158,0.02134032993251987,0.03243206571343115
