dataset_key,city,resolution,time_windows_total,time_windows_with_valid_morans_i,median_morans_i_knn5,p10_morans_i_knn5,p90_morans_i_knn5
dhaka_lcs,Dhaka,highest_hourly,8760,8758,-0.01875381943053636,-0.12988044719049588,0.15468828412687674
dhaka_lcs,Dhaka,daily,365,365,-0.04086463184025942,-0.13247483039119082,0.05605527053614862
dhaka_lcs,Dhaka,weekly,53,53,-0.06176945282060438,-0.14152246404538382,0.03175358271505884
dhaka_lcs,Dhaka,monthly,12,12,-0.067551485886927,-0.10817564366222851,-0.0281067988734298
dhaka_lcs,Dhaka,total_period,1,1,-0.059786710493286974,-0.059786710493286974,-0.059786710493286974
lucknow_lcs,Lucknow,highest_hourly,8760,8760,0.02612685519612995,-0.10409720125992204,0.2544434636488678
lucknow_lcs,Lucknow,daily,365,365,-0.018502257368874234,-0.12837138087715771,0.099840280289838
lucknow_lcs,Lucknow,weekly,53,53,-0.03676429802394849,-0.15298615561042883,0.03668857530079246
lucknow_lcs,Lucknow,monthly,12,12,-0.031357485858351214,-0.12699013144787832,0.007915264524363287
lucknow_lcs,Lucknow,total_period,1,1,-0.04043185659820571,-0.04043185659820571,-0.04043185659820571
chicago_lcs_corrected_no_collocation,Chicago,highest_hourly,6557,6553,0.15896678651433702,0.012123065815483653,0.5249826514805955
chicago_lcs_corrected_no_collocation,Chicago,daily,274,274,0.12877614081004063,0.025753560695518474,0.3632466218495061
chicago_lcs_corrected_no_collocation,Chicago,weekly,40,40,0.09901197207924396,0.04074494575571495,0.20976128976376188
chicago_lcs_corrected_no_collocation,Chicago,monthly,10,10,0.07868403227002324,0.03033969430074299,0.1863519700905874
chicago_lcs_corrected_no_collocation,Chicago,total_period,1,1,0.06789241294395143,0.06789241294395143,0.06789241294395143
